project	tissue	method	log2_auprc_over_prior	auROC	log2_p20r	sample_num	median_spearman	counts_sample_sums_variance
SRP012682	adipose_tissue	WTO	0.04447817387026404	0.5258560024361749	0.14106509964314	620	0.8506274146438043	30066501410326.83
SRP012682	blood	WTO	-0.09100837558882705	0.4995277499179096	-0.13216679999407552	595	0.8210499606496351	47563257529617
SRP012682	bone_marrow	WTO	0.4046436312406363	0.5889456073001789	0.7618302925044848	102	0.9928019473064187	42049900457199.79
SRP012682	brain	WTO	0.24523681179544873	0.557976275129537	0.3924527161560422	1409	0.7523762664025219	46066048954458.94
SRP012682	breast	WTO	0.9911239958776056	0.6919821639932806	1.561779293289137	218	0.8302414835111974	18879247457177.68
SRP012682	cervix_uteri	WTO	0.5312459652139742	0.6357812513724994	0.5705619601034152	11	0.8542408684699819	5000055391623.473
SRP012682	colon	WTO	0.0645341304336803	0.5191470590750917	0.08647690198592187	376	0.8005994571042859	19519544599157.188
SRP012682	fallopian_tube	WTO	1.9072917468050476	0.8112933647984271	2.8791187860377536	7	0.8610602932806956	23996813030299.906
SRP012682	heart	WTO	-0.13000755725902077	0.48225824168527964	-0.374413355643219	489	0.8295588197843352	39369470293725.52
SRP012682	kidney	WTO	0.2136334682112858	0.5441616468032713	0.525758409081851	36	0.7985829147013058	22272752539960.25
SRP012682	liver	WTO	0.5403630186486391	0.6022366309491538	0.8963445358475123	136	0.8611651199044741	43479116110667.48
SRP012682	lung	WTO	0.01300823721265521	0.5072393219342821	0.14156021176388794	374	0.8357935494798248	43149889822933.25
SRP012682	muscle	WTO	0.24697211958879234	0.5492483531139705	0.27761736318118796	475	0.8758770579357273	41509031431766.15
SRP012682	nerve	WTO	0.02383278433066972	0.48911891482349645	0.1763856639803844	335	0.8983040598566469	30490143371729.26
SRP012682	ovary	WTO	1.0995057201802418	0.6972013559687973	1.5366882672521651	108	0.8929019389320334	16778882363032.21
SRP012682	pancreas	WTO	-0.2517614054838131	0.4407380671709227	-0.32090025068508943	197	0.9071555030828208	25331676437836.96
SRP012682	prostate	WTO	0.68731243482704	0.6028034450138335	1.0858079441785775	119	0.8348637170990683	19232108739791.59
SRP012682	skin	WTO	1.249813701116051	0.6636514815156431	2.0839945012217957	972	0.8240569875401347	27032090903840.29
SRP012682	spleen	WTO	-0.5656663980608492	0.35914258507777497	-1.2586008382728973	118	0.9159208419930962	14346446068866.951
SRP012682	testis	WTO	0.4876044729299375	0.5985126110936676	0.758670519523902	203	0.8975121198521843	28511044450967.555
SRP012682	uterus	WTO	1.2488136061504058	0.7130346951418396	1.8806853738018692	90	0.8770981722633059	15946606709973.91
SRP012682	adipose_tissue	counts	0.5582802291188157	0.6233359545424868	0.8515584824481552	620	0.8506274146438043	30066501410326.83
SRP012682	blood	counts	0.21348958120007527	0.5554362511111215	0.3477588001447962	595	0.8210499606496351	47563257529617
