project	tissue	method	log2_auprc_over_prior	auROC	dataset	sample_num	unfiltered_median_spearman	unfiltered_counts_sample_sums_median	unfiltered_counts_sample_sums_variance	counts_sample_sums_median	counts_sample_sums_variance	median_spearman
SRP000762	epithelium	counts	0.40330405003690434	0.5831059584106697	SRP000762_epithelium	22	0.9785263368816445	4024140	14050560687704.621	4026980	13839021689053.1	0.9803515053420664
SRP000941	colon	counts	0.5067868323650188	0.5959402248845436	SRP000941_colon	24	0.8871250457558746	9069932	2982197564764.058	9069932	2982197564764.058	0.8871250457558746
SRP000941	heart	counts	0.4211436608263396	0.5891856174416716	SRP000941_heart	24	0.937793717798281	10202036	1147830126460.0417	10202036	1147830126460.0417	0.937793717798281
SRP000941	intestine	counts	0.44076479821698117	0.5713930358911057	SRP000941_intestine	32	0.9149503561915839	4309408	7667816074280.217	4309408	7667816074280.217	0.9149503561915839
SRP000941	lung	counts	0.24600014476570334	0.547260727027151	SRP000941_lung	20	0.7532870120286826	8617928	5479685216180.257	8628235.5	4019083406430.0923	0.7571675546745809
SRP000941	muscle	counts	0.29728745306546134	0.5553374516944132	SRP000941_muscle	30	0.9101233706492706	5670970	95428472811461.7	5670970	95428472811461.7	0.9101233706492706
SRP000941	stem_cell	counts	0.4327383448157006	0.5754551899894977	SRP000941_stem_cell	99	0.6335681507630583	5175909	721193967325620.9	6776864	755711347810385.9	0.6517449699437442
SRP001371	blood	counts	0.37396628423873346	0.5905455711626928	SRP001371_blood	20	0.9971459309901244	5882490	490440749620378	5882490	490440749620378	0.9971459309901244
SRP001371	brain	counts	0.24761751406651117	0.55932456384744	SRP001371_brain	12	0.9612230361478138	54043061.5	252330960470104.38	54043061.5	252330960470104.38	0.9612230361478138
SRP001371	intestine	counts	0.37542660997178084	0.5823312247393915	SRP001371_intestine	14	0.9055033664256724	46285748	517266378348557	46285748	517266378348557	0.9055033664256724
SRP001371	kidney	counts	0.14023220034233594	0.5259969328917578	SRP001371_kidney	5	0.9769421783184283	56248691	106264162409291.7	56248691	106264162409291.7	0.9769421783184283
SRP001371	muscle	counts	0.22147374906488992	0.5543498372867361	SRP001371_muscle	7	0.8890394365084799	36873414	903359994356518.6	36873414	903359994356518.6	0.8890394365084799
SRP001558	liver	counts	0.10840168142486732	0.5154935043942714	SRP001558_liver	11	0.9247578114803341	4887004	445272832691.4	4887004	445272832691.4	0.9247578114803341
SRP001893	umbilical_cord	counts	0.16531029299469804	0.524260602571303	SRP001893_umbilical_cord	12	0.9809573057844517	16016856	497386104224.24243	16016856	497386104224.24243	0.9809573057844517
SRP002079	brain	counts	0.3472513571734616	0.5630869651931789	SRP002079_brain	34	0.6774551372508555	1709663.5	1651117793959.4553	1709663.5	1651117793959.4553	0.6774551372508555
SRP002079	stem_cell	counts	0.2990881598835393	0.5591962359235367	SRP002079_stem_cell	27	0.8011469439008185	1886911	1101302979236.656	1992724	1041024362453.4985	0.8030977340010708
SRP002105	blood	counts	0.39120510465941216	0.5671545493019039	SRP002105_blood	15	0.9425098956485196	3266231	154793831752.20953	3266231	154793831752.20953	0.9425098956485196
SRP002272	liver	counts	0.317310988548198	0.5743091284134607	SRP002272_liver	7	0.6089187975927195	6764631.5	7399956664689.538	7942672	5857451683910.619	0.7114213078445124
SRP002274	brain	counts	0.10613572300998562	0.5260061455378491	SRP002274_brain	6	0.9949553683471325	7064703.5	93176427759.76666	7064703.5	93176427759.76666	0.9949553683471325
SRP002605	cervix	counts	0.44094166038681315	0.5845749973286729	SRP002605_cervix	24	0.9231615868042707	2760306	15529457497286.346	2760306	15529457497286.346	0.9231615868042707
SRP002628	prostate	counts	0.3275556736476666	0.5715451591936471	SRP002628_prostate	30	0.8454448120097025	6013922.5	5638445182990.947	6013922.5	5638445182990.947	0.8454448120097025
SRP003611	brain	counts	0.16766779370877158	0.5411755643444849	SRP003611_brain	6	0.9940259098220026	6935409	230286966377.06668	6935409	230286966377.06668	0.9940259098220026
SRP003611	prostate	counts	0.36822779491979307	0.574105711026732	SRP003611_prostate	46	0.9030892791840586	3432084	12453029165482.844	3432084	12453029165482.844	0.9030892791840586
SRP003726	breast	counts	0.18091082729471852	0.5452872178252619	SRP003726_breast	14	0.5038673603116823	2190167	2410584971362.2637	2190167	2410584971362.2637	0.5038673603116823
SRP003754	blood	counts	0.24234905711484298	0.5413785372602433	SRP003754_blood	5	0.47897799785748674	32099841	1181252449038045	64056983	1126326657850988.5	0.5970710323620452
SRP003754	blood_vessel	counts	0.14153180213392733	0.5218434638891267	SRP003754_blood_vessel	7	0.5532082897376809	40397991	1466158259195126	40397991	1466158259195126	0.5532082897376809
SRP003754	brain	counts	0.21475158327149432	0.5325773578983899	SRP003754_brain	5	0.4411144744892216	21407034	674324989315392.75	21182758	267816812278432.3	0.42146462237494403
SRP003754	epithelium	counts	0.2931401090535669	0.5528211974042279	SRP003754_epithelium	5	0.4463781384085516	12700087	812648556644791.9	69448364	1159586772123950.8	0.5012878840022968
SRP003754	skin	counts	0.2327058573668552	0.5448579332883128	SRP003754_skin	8	0.4639059689626029	36971897	731793047652425.25	49970194	1047687261183365.9	0.5504298479999644
SRP003902	kidney	counts	0.4402872473921213	0.583629465179456	SRP003902_kidney	20	0.6460929763182831	5147830.5	1532875350132.3684	5147830.5	1532875350132.3684	0.6460929763182831
SRP004847	breast	counts	0.003674692746708152	0.5057178689585271	SRP004847_breast	8	0.7402732133699512	2782443	363502373032.8571	2782443	363502373032.8571	0.7402732133699512
SRP005242	heart	counts	0.2327863520668831	0.5638688013191313	SRP005242_heart	7	0.6860039410371538	4705846	638845802500692.6	4705846	638845802500692.6	0.6860039410371538
SRP005279	blood	counts	0.09801561473538162	0.5162435067650222	SRP005279_blood	5	0.8999927190238184	13032669	11994899780809.7	13032669	11994899780809.7	0.8999927190238184
SRP005279	bone	counts	0.21505995364251557	0.5515737839027679	SRP005279_bone	23	0.5987056262061923	5416220	18634320813161.984	5807971	17267267299273.691	0.6523851545920355
SRP005281	stem_cell	counts	0.3571401008658658	0.5719793404782649	SRP005281_stem_cell	5	0.9832882981583343	11626850	12793169339201.3	11626850	12793169339201.3	0.9832882981583343
SRP006575	breast	counts	0.39453792424901307	0.5857692274430519	SRP006575_breast	71	0.6927087568775924	4078876	11289576856496.963	4274794	10669184964806.045	0.7098719536613645
SRP006575	colon	counts	0.14186015291414122	0.5405541281111255	SRP006575_colon	5	0.7571227173158857	7468273	12378227826521.2	7468273	12378227826521.2	0.7571227173158857
SRP006575	kidney	counts	0.17726681248198797	0.5436964794066625	SRP006575_kidney	6	0.8484489229850931	6101579.5	16739742685022.666	6101579.5	16739742685022.666	0.8484489229850931
SRP006575	lung	counts	0.3045648072817946	0.5753442500072197	SRP006575_lung	16	0.774125084305037	8314288.5	30137762695491.598	8314288.5	30137762695491.598	0.774125084305037
SRP006676	lung	counts	0.23195939288412676	0.5606702610061802	SRP006676_lung	8	0.8043938458275474	13324908	15597247017854.268	13324908	15597247017854.268	0.8043938458275474
SRP006908	breast	counts	0.16141334058628426	0.5419578906162315	SRP006908_breast	5	0.6982399635289526	16012577	98341950108842.8	16012577	98341950108842.8	0.6982399635289526
SRP007169	umbilical_cord	counts	0.18254711914379554	0.5402656770229441	SRP007169_umbilical_cord	6	0.7548786980219765	17417818.5	9925404533625.768	17417818.5	9925404533625.768	0.7548786980219765
SRP007359	brain	counts	0.1925866068397779	0.5427794323231865	SRP007359_brain	7	0.7409343449601383	12485617	12395693225419.953	12485617	12395693225419.953	0.7409343449601383
SRP007412	brain	counts	0.16836593203855812	0.5380776219740255	SRP007412_brain	6	0.8752678288263602	10431357	50825686660802.164	10431357	50825686660802.164	0.8752678288263602
SRP007461	blood	counts	0.31453126061934084	0.5627563170373833	SRP007461_blood	50	0.5151529276267153	10418073.5	243355667921270.38	10418073.5	243355667921270.38	0.5151529276267153
SRP007461	blood_vessel	counts	0.2785502295006319	0.5570147990620171	SRP007461_blood_vessel	17	0.7358531927742321	17176829	397399987916475.9	17176829	397399987916475.9	0.7358531927742321
SRP007461	brain	counts	0.1992757770988365	0.5538917541816772	SRP007461_brain	10	0.7792129022463915	52655276.5	1557592478727595.5	52655276.5	1557592478727595.5	0.7792129022463915
SRP007461	breast	counts	0.17628940755075392	0.5461492993258616	SRP007461_breast	11	0.6089669554001409	20561084	651449691453297.9	20561084	651449691453297.9	0.6089669554001409
SRP007461	epithelium	counts	0.15370655899944133	0.5361364598497858	SRP007461_epithelium	12	0.5671541818316208	46759283	606237400121463.4	46759283	606237400121463.4	0.5671541818316208
SRP007461	liver	counts	0.1883950063024565	0.53586403409372	SRP007461_liver	12	0.7047443360228928	15278386	16452668982290.516	15278386	16452668982290.516	0.7047443360228928
SRP007461	lung	counts	0.18261198022775477	0.5394732080158064	SRP007461_lung	15	0.6988593419206273	35190822	620954908052794.75	35190822	620954908052794.75	0.6988593419206273
SRP007461	muscle	counts	0.1656683488135716	0.5433986592893234	SRP007461_muscle	6	0.671015367025735	18879652	1399940888619999.8	18879652	1399940888619999.8	0.671015367025735
SRP007461	skin	counts	0.2722687067933778	0.5610215530141431	SRP007461_skin	25	0.5993561079668875	18022968	488596594978231.5	18022968	488596594978231.5	0.5993561079668875
SRP007461	stem_cell	counts	0.08480073496576603	0.5206884341782825	SRP007461_stem_cell	8	0.7760530988556255	10954365	20470899243998.5	10954365	20470899243998.5	0.7760530988556255
SRP007483	brain	counts	0.08374091967726362	0.5242649442789116	SRP007483_brain	12	0.8614590750086454	22679882	2877706712147.1816	22679882	2877706712147.1816	0.8614590750086454
SRP007584	colon	counts	0.3651432912176594	0.5498770525191503	SRP007584_colon	10	0.8106895402250123	395988	11143858020.455555	395988	11143858020.455555	0.8106895402250123
SRP007584	intestine	counts	0.3089427169594358	0.5407241812272332	SRP007584_intestine	9	0.737775735539147	255749.5	13366993480.628788	263917	12919957001.36111	0.7677714298034521
SRP007605	heart	counts	0.2957125133034523	0.5799355313802153	SRP007605_heart	12	0.8312593545840603	9629123.5	297663574667254.1	9629123.5	297663574667254.1	0.8312593545840603
SRP007825	skin	counts	0.2528310913328635	0.5517982645233133	SRP007825_skin	39	0.5318151978743655	6101778	11596296373232.584	8379462	6639283227796.418	0.6084344601019966
SRP008218	breast	counts	0.15948215041759262	0.5341798462154657	SRP008218_breast	14	0.43994818242042283	7574739.5	25838811653158.64	8338456.5	13953276960963.34	0.7069839526691122
SRP008225	stem_cell	counts	0.06547938846344513	0.5119864928392417	SRP008225_stem_cell	8	0.9897184940181443	20305277.5	636417384388.6964	20305277.5	636417384388.6964	0.9897184940181443
SRP008331	breast	counts	0.24419529882592633	0.5634003352956825	SRP008331_breast	15	0.8227322958065029	29682707	390245808483628	29682707	390245808483628	0.8227322958065029
SRP008482	blood_vessel	counts	0.16637943875603536	0.5158694089791425	SRP008482_blood_vessel	5	0.9981653774210897	24355839	1195860976806.8	24355839	1195860976806.8	0.9981653774210897
SRP008496	umbilical_cord	counts	0.2829690832686725	0.562239462083653	SRP008496_umbilical_cord	12	0.7600635636929596	6632193	7881559432351.841	6632193	7881559432351.841	0.7600635636929596
SRP008746	breast	counts	0.3120860896556868	0.5651559995376374	SRP008746_breast	6	0.6355274017450115	22168646.5	120888927041196.8	22168646.5	120888927041196.8	0.6355274017450115
SRP008775	blood	counts	0.221323633398997	0.5525099711699113	SRP008775_blood	8	0.6231398170085601	560190.5	261404140479.98215	560190.5	261404140479.98215	0.6231398170085601
SRP008976	blood	counts	0.4352370559593533	0.5952412205197106	SRP008976_blood	25	0.9327145490131237	32954739	165295164570298.94	32954739	165295164570298.94	0.9327145490131237
SRP009123	liver	counts	0.28846444596179505	0.5651628591867848	SRP009123_liver	6	0.7128983161665476	29548486.5	1013364811525.6	29548486.5	1013364811525.6	0.7128983161665476
SRP009251	skin	counts	0.3793821630342404	0.5828541366722675	SRP009251_skin	10	0.8995155113865458	11964705.5	40962393496477.57	11964705.5	40962393496477.57	0.8995155113865458
SRP009262	tonsil	counts	0.3443553355416817	0.5743335456963905	SRP009262_tonsil	5	0.770512978334354	36756025	351863165290936.7	36756025	351863165290936.7	0.770512978334354
SRP009266	brain	counts	0.10023417877294961	0.5258011156865905	SRP009266_brain	6	0.983143599558673	13721574.5	29527073434114.965	13721574.5	29527073434114.965	0.983143599558673
SRP009266	breast	counts	0.020607963736487316	0.5008059193546615	SRP009266_breast	6	0.7796939645357992	13543674	31946682361831.465	13543674	31946682361831.465	0.7796939645357992
SRP009266	epithelium	counts	0.1033112870812932	0.5190749352459534	SRP009266_epithelium	6	0.974268562908916	26073483	26564735912015.465	26073483	26564735912015.465	0.974268562908916
