project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP000941	colon	rlog_WTO	0.2670846476122051	0.5281535263631371	0.5543961651121876	rlog	24	2982197564764.058	0.8871250457558746
SRP000941	heart	rlog_WTO	0.16427743557833258	0.05657661538808969	0.5273189223520021	rlog	24	1147830126460.0417	0.937793717798281
SRP000941	intestine	rlog_WTO	0.3752735000661781	0.2889881981491598	0.5284851729583941	rlog	32	7667816074280.217	0.9149503561915839
SRP000941	lung	rlog_WTO	0.2775159277438614	0.47274388945221263	0.5429135779678589	rlog	20	4019083406430.0923	0.7571675546745809
SRP000941	muscle	rlog_WTO	0.38419471260586624	0.7407339741411564	0.5552370407500504	rlog	30	95428472811461.7	0.9101233706492706
SRP000941	stem_cell	rlog_WTO	0.39226987288225135	0.7621324221678546	0.5402184358851407	rlog	99	755711347810385.9	0.6517449699437442
SRP001371	blood	rlog_WTO	0.2415991370252395	0.34864042693687464	0.5571984514982482	rlog	20	490440749620378	0.9971459309901244
SRP001371	brain	rlog_WTO	0.08654317171449814	0.15990021822207356	0.5081908290499406	rlog	12	252330960470104.38	0.9612230361478138
SRP001371	intestine	rlog_WTO	0.1705151477255159	0.4278323858454427	0.5121737921787286	rlog	14	517266378348557	0.9055033664256724
SRP001371	kidney	rlog_WTO	0.08332601760958229	0.16067979280246097	0.513399598742815	rlog	5	106264162409291.7	0.9769421783184283
SRP001371	muscle	rlog_WTO	0.44751986987319176	0.8125492930305944	0.5844628807468162	rlog	7	903359994356518.6	0.8890394365084799
SRP001558	liver	rlog_WTO	0.6646815228299993	1.163597388707689	0.5952346970121987	rlog	11	445272832691.4	0.9247578114803341
SRP002079	brain	rlog_WTO	0.25050501685980114	0.5195338172919836	0.5375720507595645	rlog	34	1651117793959.4553	0.6774551372508555
SRP002079	stem_cell	rlog_WTO	0.012239790527641235	0.05825844767841337	0.48795246526686853	rlog	27	1041024362453.4985	0.8030977340010708
