project	tissue	method	recall	precision	dataset	log2_precision_over_prior
SRP012682	adipose_tissue	wTO	5	0.17229580747787193	SRP012682_adipose_tissue	0.6894802140755593
SRP012682	adrenal_gland	wTO	5	0.15476224152074905	SRP012682_adrenal_gland	0.5346461471101474
SRP012682	bladder	wTO	5	0.125	SRP012682_bladder	0.22652071247535174
SRP012682	blood	wTO	5	0.14037671672442562	SRP012682_blood	0.3938962836309344
SRP012682	blood_vessel	wTO	5	0.17286511172213267	SRP012682_blood_vessel	0.6942393458837787
SRP012682	bone_marrow	wTO	5	0.14080223441345036	SRP012682_bone_marrow	0.3982628461059997
SRP012682	brain	wTO	5	0.16693380961103987	SRP012682_brain	0.6438687952865564
SRP012682	breast	wTO	5	0.1411738894768087	SRP012682_breast	0.4020659002080426
SRP012682	cervix_uteri	wTO	5	0.11251256787947242	SRP012682_cervix_uteri	0.07467877996081389
SRP012682	colon	wTO	5	0.11359673703219378	SRP012682_colon	0.0885140128612099
SRP012682	esophagus	wTO	5	0.10824061058425231	SRP012682_esophagus	0.018834500267001647
SRP012682	fallopian_tube	wTO	5	0.18486989767616513	SRP012682_fallopian_tube	0.7911029477446564
SRP012682	heart	wTO	5	0.14759629659621562	SRP012682_heart	0.46624914014277613
SRP012682	kidney	wTO	5	0.17763048139874596	SRP012682_kidney	0.7334717870547649
SRP012682	liver	wTO	5	0.20578654012729258	SRP012682_liver	0.9457412406039116
SRP012682	lung	wTO	5	0.14098425095370656	SRP012682_lung	0.40012662886454115
SRP012682	muscle	wTO	5	0.18733948566928055	SRP012682_muscle	0.8102476270220049
SRP012682	nerve	wTO	5	0.1603956697527247	SRP012682_nerve	0.5862278110603849
SRP012682	ovary	wTO	5	0.16890420899854863	SRP012682_ovary	0.6607978973298542
SRP012682	pancreas	wTO	5	0.18125559571575423	SRP012682_pancreas	0.7626181522286885
SRP012682	pituitary	wTO	5	0.18865768686833845	SRP012682_pituitary	0.8203635016262921
