project	tissue	method	log2_auprc_over_prior	dataset	auROC	sample_num	median_spearman	counts_sample_sums_median	counts_sample_sums_variance
SRP012682	adipose_tissue	wTO	0.04447817387026404	SRP012682_adipose_tissue	0.5258560024361749	620	0.8506274146438043	18923694	30066501410326.83
SRP012682	blood	wTO	-0.09100837558882705	SRP012682_blood	0.4995277499179096	595	0.8210499606496351	21664752	47563257529617
SRP012682	bone_marrow	wTO	0.4046436312406363	SRP012682_bone_marrow	0.5889456073001789	102	0.9928019473064187	21093744.5	42049900457199.79
SRP012682	brain	wTO	0.24523681179544873	SRP012682_brain	0.557976275129537	1409	0.7523762664025219	19802864	46066048954458.94
SRP012682	breast	wTO	0.9911239958776056	SRP012682_breast	0.6919821639932806	218	0.8302414835111974	18610044.5	18879247457177.68
SRP012682	cervix_uteri	wTO	0.5312459652139742	SRP012682_cervix_uteri	0.6357812513724994	11	0.8542408684699819	16674331	5000055391623.473
SRP012682	colon	wTO	0.0645341304336803	SRP012682_colon	0.5191470590750917	376	0.8005994571042859	18372514	19519544599157.188
SRP012682	fallopian_tube	wTO	1.9072917468050476	SRP012682_fallopian_tube	0.8112933647984271	7	0.8610602932806956	15715064	23996813030299.906
SRP012682	heart	wTO	-0.13000755725902077	SRP012682_heart	0.48225824168527964	489	0.8295588197843352	20975683	39369470293725.52
SRP012682	kidney	wTO	0.2136334682112858	SRP012682_kidney	0.5441616468032713	36	0.7985829147013058	20364143.5	22272752539960.25
SRP012682	liver	wTO	0.5403630186486391	SRP012682_liver	0.6022366309491538	136	0.8611651199044741	18997677	43479116110667.48
SRP012682	lung	wTO	0.01300823721265521	SRP012682_lung	0.5072393219342821	374	0.8357935494798248	18762175	43149889822933.25
SRP012682	muscle	wTO	0.24697211958879234	SRP012682_muscle	0.5492483531139705	475	0.8758770579357273	21197643	41509031431766.15
SRP012682	nerve	wTO	0.02383278433066972	SRP012682_nerve	0.48911891482349645	335	0.8983040598566469	18058485	30490143371729.26
SRP012682	ovary	wTO	1.0995057201802418	SRP012682_ovary	0.6972013559687973	108	0.8929019389320334	17499807.5	16778882363032.21
SRP012682	pancreas	wTO	-0.2517614054838131	SRP012682_pancreas	0.4407380671709227	197	0.9071555030828208	18877747	25331676437836.96
SRP012682	prostate	wTO	0.68731243482704	SRP012682_prostate	0.6028034450138335	119	0.8348637170990683	17531341	19232108739791.59
