project	tissue	method	log2_auprc_over_prior	dataset	auROC	sample_num	unfiltered_median_spearman	unfiltered_counts_sample_sums_median	unfiltered_counts_sample_sums_variance	counts_sample_sums_median	counts_sample_sums_variance	median_spearman
SRP010181	intestine	RPKM	0.03976640604785769	SRP010181_intestine	0.4990892171698924	26	0.5549784668757749	110888.5	2182603054.9669223	228768.5	1466198307.146154	0.7229301701491603
SRP010374	cervix	RPKM	0.2521500176103411	SRP010374_cervix	0.4918351564590182	5	0.9600840860221238	9012134	7972338401457.8	9012134	7972338401457.8	0.9600840860221238
SRP010483	brain	RPKM	0.20218992419519485	SRP010483_brain	0.523785627452245	10	0.8728140234038662	9677064	23001832322613.12	9677064	23001832322613.12	0.8728140234038662
SRP010644	blood	RPKM	0.5125684394312163	SRP010644_blood	0.5618457871568872	17	0.9503595763773524	4440333	33811300443513.492	4440333	33811300443513.492	0.9503595763773524
SRP010961	blood	RPKM	0.5680123596026138	SRP010961_blood	0.5508030524445005	6	0.9480269256105643	13171962	586358422904	13171962	586358422904	0.9480269256105643
SRP011546	stem_cell	RPKM	0.49507160052694765	SRP011546_stem_cell	0.591417086336687	118	0.46736567641192106	27482422	63736999600535.234	27652053	63939800934189.38	0.460679062893746
SRP011903	brain	RPKM	0.3184368488167	SRP011903_brain	0.5320887334487594	15	0.968544863780091	23732009	5785827686279.124	23732009	5785827686279.124	0.968544863780091
SRP011924	heart	RPKM	0.17115858681405197	SRP011924_heart	0.5008934953262809	29	0.8840661402814393	16237791	9375311834522.139	16237791	9375311834522.139	0.8840661402814393
SRP012015	heart	RPKM	0.7038842440207624	SRP012015_heart	0.5942926509691375	6	0.9112895613955416	10076277.5	27117672581885.867	10076277.5	27117672581885.867	0.9112895613955416
SRP012557	brain	RPKM	0.10516229748666164	SRP012557_brain	0.5166522841949686	8	0.6246097037367953	27237199.5	28560144236246.98	27237199.5	28560144236246.98	0.6246097037367953
SRP012557	breast	RPKM	0.27762469477963214	SRP012557_breast	0.5334633462859877	16	0.7940764450806773	23208100.5	58472388647390.46	23208100.5	58472388647390.46	0.7940764450806773
SRP012585	stem_cell	RPKM	0.21195169428046667	SRP012585_stem_cell	0.5485873585393328	5	0.33801259207199397	3522220	1700389842900.7222	3826675	1551352884029.3	0.3679661733707664
SRP012607	lung	RPKM	0.2732920264215254	SRP012607_lung	0.5031598665220578	12	0.9521293172686756	5223713	16499114755654.387	5223713	16499114755654.387	0.9521293172686756
SRP012656	lung	RPKM	0.22295048967033224	SRP012656_lung	0.5516594747297674	36	0.6915380741065125	15166465.5	5732909900087.133	15166465.5	5732909900087.133	0.6915380741065125
