project	tissue	method	log2_auprc_over_prior	auROC	log2_p20r	sample_num	median_spearman	counts_sample_sums_variance
SRP000941	colon	WTO	0.9725577660669449	0.6596288727098312	1.2651191205293435	24	0.8871250457558746	2982197564764.058
SRP000941	heart	WTO	-0.008133225532079912	0.49831457192064477	-0.12246812847123123	24	0.937793717798281	1147830126460.0417
SRP000941	intestine	WTO	0.36821791766444656	0.5588276573357476	0.6686317908928094	32	0.9149503561915839	7667816074280.217
SRP000941	lung	WTO	0.044971072486990546	0.5320437878134534	-0.19144012602527	20	0.7571675546745809	4019083406430.0923
SRP000941	muscle	WTO	0.43396589112683026	0.5632352637595766	0.6294798345003072	30	0.9101233706492706	95428472811461.7
SRP000941	stem_cell	WTO	1.0495933053906865	0.6966962309398284	1.562107813859861	99	0.6517449699437442	755711347810385.9
SRP001371	blood	WTO	0.23516639323205282	0.5728665049661821	0.2702065514876611	20	0.9971459309901244	490440749620378
SRP001371	brain	WTO	0.06851217314844357	0.5097165638095902	0.1634449252654857	12	0.9612230361478138	252330960470104.38
SRP001371	intestine	WTO	0.004012579392093504	0.4824776465750844	-0.1586559691066735	14	0.9055033664256724	517266378348557
SRP001371	kidney	WTO	0.2321172459616906	0.5613803525490404	0.4795674333697721	5	0.9769421783184283	106264162409291.7
SRP001371	muscle	WTO	0.3238144138678898	0.5927180426244689	0.41706459117315114	7	0.8890394365084799	903359994356518.6
SRP001558	liver	WTO	0.9552072020969039	0.6359896645302463	1.5540465006678341	11	0.9247578114803341	445272832691.4
SRP002079	brain	WTO	0.13295374294122478	0.5179842164898574	0.29932660372521075	34	0.6774551372508555	1651117793959.4553
SRP002079	stem_cell	WTO	0.8104782500633011	0.6856025452440413	1.129206202145736	27	0.8030977340010708	1041024362453.4985
SRP002105	blood	WTO	0.6515839562846252	0.6186114892580648	1.1147808979784202	15	0.9425098956485196	154793831752.20953
SRP002272	liver	WTO	0.31736183291689546	0.5611347324768126	0.32383651741955805	7	0.7114213078445124	5857451683910.619
SRP002274	brain	WTO	0.424367136115592	0.5653708225592347	0.6787457165557748	6	0.9949553683471325	93176427759.76666
SRP002605	cervix	WTO	1.368846561487588	0.7651707693258665	1.6860206545840886	24	0.9231615868042707	15529457497286.346
SRP002628	prostate	WTO	0.11914407063066132	0.5387635434251195	0.050949186966926054	30	0.8454448120097025	5638445182990.947
SRP003611	brain	WTO	0.5681708830123131	0.5943373374363752	0.8837106865635758	6	0.9940259098220026	230286966377.06668
SRP003611	prostate	WTO	0.40775971038045516	0.5141667165225456	0.9413516597868754	46	0.9030892791840586	12453029165482.844
SRP003726	breast	WTO	0.544769485437205	0.6114248040877648	0.8395986580690886	14	0.5038673603116823	2410584971362.2637
SRP003754	blood	WTO	0.3150063868077749	0.5410874671419776	0.6333723104187581	5	0.5970710323620452	1126326657850988.5
SRP003754	brain	WTO	0.4184989317811075	0.5573206779451425	0.589522433572048	5	0.42146462237494403	267816812278432.3
SRP003754	skin	WTO	0.922935131372288	0.6415951246480986	1.5527487007615104	8	0.5504298479999644	1047687261183365.9
SRP003902	kidney	WTO	0.378893530709725	0.5821520359194743	0.5955869347916342	20	0.6460929763182831	1532875350132.3684
SRP004847	breast	WTO	0.09206355491956345	0.5013314382705367	0.306341479009947	8	0.7402732133699512	363502373032.8571
SRP005242	heart	WTO	0.16857113482748676	0.5600899082411495	0.10142731959120878	7	0.6860039410371538	638845802500692.6
SRP005279	blood	WTO	0.24500893206802216	0.5322969939894477	0.532555273185556	5	0.8999927190238184	11994899780809.7
SRP005279	bone	WTO	0.22244972700462387	0.5547028353479213	0.27307199444069064	23	0.6523851545920355	17267267299273.691
SRP005281	stem_cell	WTO	0.5390655005861358	0.6054862742341705	0.72732165834104	5	0.9832882981583343	12793169339201.3
SRP006575	breast	WTO	0.9112267026295703	0.7040862823680989	1.251704099976703	71	0.7098719536613645	10669184964806.045
SRP006575	colon	WTO	0.21479871057767908	0.5201820825876986	0.1613635482427087	5	0.7571227173158857	12378227826521.2
SRP006575	kidney	WTO	0.130801572737736	0.5267670986890742	0.2904197725263639	6	0.8484489229850931	16739742685022.666
SRP006575	lung	WTO	0.2608962253137629	0.5732395533008656	0.452538798964271	16	0.774125084305037	30137762695491.598
SRP006676	lung	WTO	0.09377886794141425	0.4876449448377329	0.16365096584091635	8	0.8043938458275474	15597247017854.268
SRP006908	breast	WTO	0.8803942053260714	0.6836919206730272	1.0617347597742524	5	0.6982399635289526	98341950108842.8
SRP007359	brain	WTO	0.603419301250567	0.6017218733511385	0.9554087114146436	7	0.7409343449601383	12395693225419.953
SRP007412	brain	WTO	0.0021702453358126103	0.5122562745427643	-0.12259576732256318	6	0.8752678288263602	50825686660802.164
SRP007461	blood	WTO	0.14325178094835964	0.5402539895903118	0.21009818058464289	50	0.5151529276267153	243355667921270.38
SRP007461	brain	WTO	0.04448682127639107	0.5141578148713499	0.044617339373572464	10	0.7792129022463915	1557592478727595.5
SRP007461	breast	WTO	0.8223354682202014	0.6656962390693479	1.2015724722423708	11	0.6089669554001409	651449691453297.9
SRP007461	liver	WTO	0.5690717639502533	0.5980065886456956	0.8281843404780229	12	0.7047443360228928	16452668982290.516
SRP007461	lung	WTO	0.3471112435814699	0.5604676073947061	0.5415018631655848	15	0.6988593419206273	620954908052794.75
SRP007461	muscle	WTO	0.3546709822019396	0.5734515264270073	0.5370046727946679	6	0.671015367025735	1399940888619999.8
SRP007461	skin	WTO	0.3680436474802868	0.576453228224274	0.649952101866915	25	0.5993561079668875	488596594978231.5
SRP007461	stem_cell	WTO	0.12555538769897098	0.5338743281613532	0.05253693501951054	8	0.7760530988556255	20470899243998.5
SRP007483	brain	WTO	0.3564419451381001	0.5669180627233175	0.6418923445335698	12	0.8614590750086454	2877706712147.1816
SRP007584	colon	WTO	0.25793248879935854	0.5558385965194681	1.1028476916304664	10	0.8106895402250123	11143858020.455555
SRP007584	intestine	WTO	-0.09364469010549421	0.47750082215104683	-0.013494643698501944	9	0.7677714298034521	12919957001.36111
SRP007605	heart	WTO	0.0965975293427514	0.5598753056991086	-0.00762093575009507	12	0.8312593545840603	297663574667254.1
SRP007825	skin	WTO	0.51165197387977	0.5653118045258552	0.8718014170269586	39	0.6084344601019966	6639283227796.418
SRP008218	breast	WTO	0.4338115078335654	0.6004022378381784	0.6406557372986857	14	0.7069839526691122	13953276960963.34
SRP008225	stem_cell	WTO	0.1783916668523072	0.5220557609179828	0.33572942597834027	8	0.9897184940181443	636417384388.6964
SRP008331	breast	WTO	1.0034152868962436	0.7105865100151867	1.4809489480557234	15	0.8227322958065029	390245808483628
SRP008746	breast	WTO	0.8991780294293972	0.6786601941209867	1.3160762605981486	6	0.6355274017450115	120888927041196.8
SRP008775	blood	WTO	0.24020924659256826	0.5343615854973827	0.48714970846324734	8	0.6231398170085601	261404140479.98215
SRP008976	blood	WTO	0.4336609527559684	0.5975388031856603	0.5560581209702573	25	0.9327145490131237	165295164570298.94
SRP009123	liver	WTO	0.5882320993062253	0.6128162703548732	0.9599402436891731	6	0.7128983161665476	1013364811525.6
SRP009251	skin	WTO	0.4913063077647561	0.5445332431955023	0.9534312952079332	10	0.8995155113865458	40962393496477.57
SRP009266	brain	WTO	0.15143430201055294	0.5336283196013731	0.3126623962109614	6	0.983143599558673	29527073434114.965
SRP009266	breast	WTO	-0.06739488309970548	0.46791978120770494	-0.02264162982127124	6	0.7796939645357992	31946682361831.465
SRP009266	lung	WTO	0.7450953083483259	0.5987667813900366	1.051176236582504	6	0.9831996848654092	16881127737733.367
SRP009276	breast	WTO	0.749909360570097	0.6473650133678426	1.0413604208423137	5	0.9696926661965488	23280438322735.5
SRP009276	skin	WTO	0.13575184736751716	0.5649532014651513	0.43837986237829796	5	0.9123487288582667	55911792431362.2
SRP009373	blood	WTO	0.1502417047879911	0.5416925277934368	0.24449628553264613	6	0.6480313180872258	50658393832208
SRP009408	lung	WTO	0.40788380428204146	0.5627302855415053	0.7518989156991863	48	0.6589494335693437	20376162280082.125
SRP009615	blood	WTO	0.13130330235403648	0.5414095981554965	0.3105092237458238	12	0.9402529660975534	64889759283064.99
SRP009840	bone	WTO	0.7647552521054888	0.6452045073935295	1.0293590886451154	11	0.7922230854876293	42218737715533.016
SRP009862	blood	WTO	0.20571451181282263	0.5576756102968581	0.22251975864849183	23	0.6276432289983679	20507373972662.133
SRP009862	liver	WTO	0.5597599564998107	0.6178047354962786	0.7663450866601599	9	0.7547160304065453	22668369806519.36
SRP009862	skin	WTO	0.9797164073098448	0.6465548691369563	1.5714875872649146	9	0.7725306474813661	16531575712235.111
SRP010041	lung	WTO	0.6215470598530771	0.6051028385992083	1.1210877092085922	6	0.8746000133452073	2367267160787.8667
SRP010181	intestine	WTO	0.08181810714559165	0.503688123800238	0.18135626066967883	26	0.7229301701491603	1466198307.146154
SRP010374	cervix	WTO	0.4558212089285461	0.5608838026382372	0.5327808831020079	5	0.9600840860221238	7972338401457.8
SRP010483	brain	WTO	0.13130597172757574	0.5277924142365045	0.3691051815730495	10	0.8728140234038662	23001832322613.12
SRP010644	blood	WTO	0.07527754940337548	0.5050530929999013	0.2129916767583579	17	0.9503595763773524	33811300443513.492
SRP010961	blood	WTO	0.43101283015231256	0.5460593620611149	0.8470765607717505	6	0.9480269256105643	586358422904
SRP011546	stem_cell	WTO	0.48492903096489126	0.6088484668323879	0.7820472404868252	118	0.460679062893746	63939800934189.38
SRP011903	brain	WTO	0.38974009515361446	0.546834945828202	0.7915602423645479	15	0.968544863780091	5785827686279.124
SRP011924	heart	WTO	-0.221076373139479	0.44678501231749657	-0.33544124298482375	29	0.8840661402814393	9375311834522.139
SRP012015	heart	WTO	0.4608672309865949	0.5654819880163373	0.7334736873406179	6	0.9112895613955416	27117672581885.867
SRP012557	brain	WTO	0.09777916633655391	0.5146005518571961	0.19659170979423335	8	0.6246097037367953	28560144236246.98
SRP012557	breast	WTO	0.3632102361167409	0.58081459271245	0.549972636863626	16	0.7940764450806773	58472388647390.46
SRP012585	stem_cell	WTO	0.3851582269747189	0.5896682742499557	0.3873126491924032	5	0.3679661733707664	1551352884029.3
SRP012607	lung	WTO	0.07440139717172199	0.49322819429576725	-0.1460156306288015	12	0.9521293172686756	16499114755654.387
SRP012656	lung	WTO	-0.031710431651168616	0.5041438847376973	0.039978029977639815	36	0.6915380741065125	5732909900087.133
SRP013021	prostate	WTO	0.13808507898515382	0.5733480155004287	-0.11582591699107317	15	0.697165008741557	569323016389530.5
SRP013299	stem_cell	WTO	0.33137903170208893	0.5403115151890887	0.3703557690879729	19	0.7273337241848127	1120239033725.339
SRP013402	skin	WTO	0.3930069223560124	0.5996265339878271	0.6583126869704726	5	0.9590638666825776	1148890868172.5
SRP013456	kidney	WTO	0.2687011240129703	0.5385932238559086	0.33140698761227644	6	0.9344599404718462	442504412456.7
SRP013825	brain	WTO	0.17972771747283592	0.5329174439663618	0.23340438027050908	23	0.856404725200316	1153413698165.7234
SRP014146	skin	WTO	0.1782892138519623	0.5423537578754392	0.21357406600493792	15	0.9003468953908378	7949516181969.543
SRP014320	blood	WTO	-0.024953372622549763	0.49806197097610294	-0.0075075301090005864	34	0.8832489433928564	43394342514397.83
SRP014320	breast	WTO	0.06722074656646708	0.5125991731409663	0.07711973138229461	6	0.9072100097101309	1030250877051.1
SRP014320	cervix	WTO	1.1334028045497289	0.6558451141292814	1.7038362708800232	8	0.9436618197662514	5889890500118.696
SRP014320	colon	WTO	-0.06525180115457098	0.4696717562844963	-0.05630925317502168	6	0.993925000194255	1213168636962.2666
SRP014320	liver	WTO	0.1745833718647371	0.5123850057129324	0.43188321116626294	9	0.9576178866346161	28528964545511.36
SRP014320	muscle	WTO	0.3478257075612789	0.5576973745468443	0.45447005919811945	10	0.8448416148651794	2682327361548.7666
SRP014320	skin	WTO	0.2311553435634079	0.5537994524116243	0.24958336047210036	6	0.8344050970556629	25263107562665.5
SRP014320	stem_cell	WTO	0.9689697433362681	0.644750875714653	1.3987802974521442	13	0.8400777386675694	34458880791022.6
SRP014428	brain	WTO	0.6595858737723312	0.5862238572573588	1.1805442069895895	21	0.6485866138436749	123995652131527.47
SRP014428	colon	WTO	-0.28083633893310855	0.450294035125097	-0.7608760880036013	28	0.6023915936905304	32331538246607.676
SRP014428	stem_cell	WTO	0.13213466233439444	0.49268014847735486	0.058287697326977306	8	0.5511803998019791	5430442346804.286
SRP014620	stem_cell	WTO	0.8618896582602087	0.656474258414864	1.3838180288945354	15	0.8299871884283851	71173661026559.27
SRP014675	brain	WTO	0.24928835815820785	0.5475848918348376	0.43876106135379217	26	0.5182027457505445	11253312405733.434
SRP015439	blood	WTO	0.361865648020539	0.5632845498039352	0.6506685249469237	7	0.8111350514655906	77726658664785.67
SRP015640	kidney	WTO	0.1831495424037813	0.5397397440286937	0.17569836864029328	5	0.9679947021145808	7119089150068.7
SRP015668	brain	WTO	0.42376373720427984	0.5788550820889533	0.627214253833216	32	0.8676602501752115	940413146278.9637
SRP016059	heart	WTO	0.23513516925778674	0.5571969436513982	0.4709331936963256	6	0.5871853868247949	13870383891878.268
SRP016140	stem_cell	WTO	0.8364578666762219	0.6862428033680921	1.0839162403371718	5	0.9181495352353376	358905269209643
SRP016583	skin	WTO	0.26184387894028305	0.5037937335573766	0.4779899057108315	6	0.9336400081635008	2188477567450
SRP017138	blood	WTO	0.19735553613076534	0.5366347469891117	0.4043719050695101	16	0.8153073995931062	16342673398086.096
SRP017411	cervix	WTO	0.3745442133320774	0.5578605794051619	0.6434083620267047	14	0.4933656853795485	30571488621383.15
SRP017575	breast	WTO	0.5842853457595849	0.6499712621051366	0.7332945914937994	52	0.8127863280061706	9933587660267.701
SRP017631	lung	WTO	0.43319073924921025	0.5810356860510311	0.6966343174867947	8	0.9201548221684936	442257294463807.1
