project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP012682	adrenal_gland	counts	0.4051577293042391	0.5924337184524553	0.57609970930298	asinh	159	23481551609864.31	0.9045109224029559
SRP012682	bladder	counts	0.20187820155273137	0.37737881638104476	0.5481696899996678	asinh	11	7730794256511.091	0.8774278302670073
SRP012682	bone_marrow	counts	0.2939287974823453	0.43653755711006076	0.575384035154002	asinh	102	42049900457199.79	0.9928019473064187
SRP012682	breast	counts	0.415200267165476	0.5957510894323602	0.5748838714062003	asinh	218	18879247457177.68	0.8302414835111974
SRP012682	cervix_uteri	counts	0.15562448582434807	0.23669016489069974	0.5387318794878411	asinh	11	5000055391623.473	0.8542408684699819
SRP012682	colon	counts	0.30135216464410697	0.5088022183094527	0.5690456142424409	asinh	376	19519544599157.188	0.8005994571042859
SRP012682	fallopian_tube	counts	0.28756485980412994	0.44510836767182993	0.5614006514333596	asinh	7	23996813030299.906	0.8610602932806956
SRP012682	heart	counts	0.5008477485407367	0.7099837609867001	0.5942126838299373	asinh	489	39369470293725.52	0.8295588197843352
SRP012682	kidney	counts	0.4783180587924626	0.670536488578526	0.58325009943519035	asinh	36	22272752539960.25	0.7985829147013058
SRP012682	liver	counts	0.6124361220956155	0.8564574211370174	0.60952822711306	asinh	136	43479116110667.48	0.8611651199044741
SRP012682	lung	counts	0.40694244357666554	0.5933650557787883	0.582636434941378	asinh	374	43149889822933.25	0.8357935494798248
SRP012682	muscle	counts	0.5913884056359944	0.8342295778608114	0.6059792012920298	asinh	475	41509031431766.15	0.8758770579357273
SRP012682	nerve	counts	0.465718194550422	0.6845327218491439	0.5868852163662268	asinh	335	30490143371729.26	0.8983040598566469
SRP012682	ovary	counts	0.5032968644893185	0.674276611556678	0.5904491199553377	asinh	108	16778882363032.21	0.8929019389320334
SRP012682	pancreas	counts	0.5219702148342129	0.7390744295971565	0.5982163078133453	asinh	197	25331676437836.96	0.9071555030828208
SRP012682	pituitary	counts	0.5126606522771451	0.7383198112581629	0.588498696698025	asinh	124	17520465346450.992	0.8847276308833996
SRP012682	prostate	counts	0.5125922368138541	0.7321086567922311	0.5863888869707807	asinh	119	19232108739791.59	0.8348637170990683
SRP012682	salivary_gland	counts	0.5397622640801826	0.7999157375910569	0.5883855448278155	asinh	70	14433063078048.781	0.840206092880244
SRP012682	small_intestine	counts	0.3691316434075723	0.5906958999468865	0.5718449263522416	asinh	104	14013718866596.008	0.776948424667578
SRP012682	spleen	counts	0.5367629834702522	0.7841261635605029	0.586758952836135	asinh	118	14346446068866.951	0.9159208419930962
SRP012682	stomach	counts	0.479219970290712	0.7621988486596806	0.5888920799961852	asinh	203	17003626657448.738	0.8198299137803764
SRP012682	testis	counts	0.3100062241689523	0.5196667205719965	0.5613345606429903	asinh	203	28511044450967.555	0.8975121198521843
SRP012682	thyroid	counts	0.46027456794780475	0.6694814617500441	0.5854162947684927	asinh	361	34659609336165.54	0.8803299354597345
SRP012682	uterus	counts	0.42628162001103387	0.6020808938475002	0.5718123993310655	asinh	90	15946606709973.91	0.8770981722633059
SRP012682	vagina	counts	0.3385140702794574	0.5211082276692744	0.5632847806414247	asinh	97	18566935313697.44	0.8169675261454857
SRP012682	adrenal_gland	CLR	0.4441542730198637	0.643268807747927	0.5795594537557918	asinh	159	23481551609864.31	0.9045109224029559
SRP012682	bladder	CLR	0.20376727329857147	0.35325384898669104	0.5465022196272002	asinh	11	7730794256511.091	0.8774278302670073
SRP012682	bone_marrow	CLR	0.30862955122872493	0.4502482312972458	0.578120809423126	asinh	102	42049900457199.79	0.9928019473064187
SRP012682	breast	CLR	0.4911765487323661	0.718539381680166	0.5821801338302066	asinh	218	18879247457177.68	0.8302414835111974
SRP012682	cervix_uteri	CLR	0.1550596136096132	0.28772023707800765	0.5397783726357375	asinh	11	5000055391623.473	0.8542408684699819
SRP012682	colon	CLR	0.46747295633963803	0.6270019580108948	0.5751818365824874	asinh	376	19519544599157.188	0.8005994571042859
SRP012682	fallopian_tube	CLR	0.25823089351540846	0.4204379527816995	0.5623332276381916	asinh	7	23996813030299.906	0.8610602932806956
SRP012682	heart	CLR	0.5015819036106152	0.7367988938232571	0.5995439557536884	asinh	489	39369470293725.52	0.8295588197843352
SRP012682	kidney	CLR	0.44773528365946896	0.6918231595633205	0.5866122605561941	asinh	36	22272752539960.25	0.7985829147013058
SRP012682	liver	CLR	0.534967379923636	0.7968911638997366	0.6043198113097787	asinh	136	43479116110667.48	0.8611651199044741
SRP012682	lung	CLR	0.4652810335861741	0.6832675554063941	0.591308412178023	asinh	374	43149889822933.25	0.8357935494798248
SRP012682	muscle	CLR	0.5568902653065583	0.8173438757951059	0.6075343339330175	asinh	475	41509031431766.15	0.8758770579357273
SRP012682	nerve	CLR	0.47638324385459996	0.7155871236843822	0.5929742272123804	asinh	335	30490143371729.26	0.8983040598566469
SRP012682	ovary	CLR	0.4908747846057169	0.7105215402204009	0.5892569985358023	asinh	108	16778882363032.21	0.8929019389320334
SRP012682	pancreas	CLR	0.5353088708855703	0.7828908015023134	0.6024723107370846	asinh	197	25331676437836.96	0.9071555030828208
SRP012682	pituitary	CLR	0.49853890204869206	0.7212921471891987	0.5900113071638771	asinh	124	17520465346450.992	0.8847276308833996
SRP012682	prostate	CLR	0.4844274676498086	0.6976214685049126	0.5852461514200513	asinh	119	19232108739791.59	0.8348637170990683
SRP012682	salivary_gland	CLR	0.4612297644805268	0.727438621036515	0.5845909659196877	asinh	70	14433063078048.781	0.840206092880244
SRP012682	small_intestine	CLR	0.38977729783340015	0.5865247826850489	0.5705869517819337	asinh	104	14013718866596.008	0.776948424667578
SRP012682	spleen	CLR	0.553179335817613	0.810609382133519	0.5899356957365853	asinh	118	14346446068866.951	0.9159208419930962
SRP012682	stomach	CLR	0.4086472936972032	0.6662266159330469	0.5871004742589321	asinh	203	17003626657448.738	0.8198299137803764
SRP012682	testis	CLR	0.296600142772662	0.5127350636388903	0.5622143942614457	asinh	203	28511044450967.555	0.8975121198521843
SRP012682	thyroid	CLR	0.5232925433438712	0.7394008607048504	0.5926602013128104	asinh	361	34659609336165.54	0.8803299354597345
SRP012682	uterus	CLR	0.44742863945719596	0.6440346727887098	0.572854712454955	asinh	90	15946606709973.91	0.8770981722633059
SRP012682	vagina	CLR	0.3878640390346286	0.5856838959657251	0.5678611862367688	asinh	97	18566935313697.44	0.8169675261454857
SRP012682	adrenal_gland	WTO	0.17463964266867701	0.364244385933348	0.538012410977899	asinh	159	23481551609864.31	0.9045109224029559
SRP012682	bladder	WTO	0.11170573656110028	0.21851036271636412	0.5354644698613811	asinh	11	7730794256511.091	0.8774278302670073
SRP012682	bone_marrow	WTO	0.2087949409280095	0.35056172093340054	0.5601559450428795	asinh	102	42049900457199.79	0.9928019473064187
SRP012682	breast	WTO	0.12616960395554985	0.22821070271664362	0.5353191163467272	asinh	218	18879247457177.68	0.8302414835111974
SRP012682	cervix_uteri	WTO	0.042059578556561956	0.07267636903978685	0.5261618671306678	asinh	11	5000055391623.473	0.8542408684699819
SRP012682	colon	WTO	0.09045359456209796	0.1993036324863513	0.538467808916721	asinh	376	19519544599157.188	0.8005994571042859
SRP012682	fallopian_tube	WTO	0.2869770415927638	0.40959083834643356	0.5583895769095761	asinh	7	23996813030299.906	0.8610602932806956
SRP012682	heart	WTO	0.23603288680277695	0.4516429395779477	0.5589985845695082	asinh	489	39369470293725.52	0.8295588197843352
SRP012682	kidney	WTO	0.2416305291751331	0.4043365410668283	0.5511179040586285	asinh	36	22272752539960.25	0.7985829147013058
SRP012682	liver	WTO	0.3999080381534875	0.6327895346554555	0.5852247605535013	asinh	136	43479116110667.48	0.8611651199044741
SRP012682	lung	WTO	0.1498626239285902	0.3319683705298469	0.5348786658360041	asinh	374	43149889822933.25	0.8357935494798248
SRP012682	muscle	WTO	0.35113722109777235	0.6186089478921505	0.5722467019500073	asinh	475	41509031431766.15	0.8758770579357273
SRP012682	nerve	WTO	0.22640454000327379	0.42591375588045394	0.5508327535308126	asinh	335	30490143371729.26	0.8983040598566469
SRP012682	ovary	WTO	0.25097662932154197	0.44312880157997925	0.5594718263710092	asinh	108	16778882363032.21	0.8929019389320334
SRP012682	pancreas	WTO	0.2730418656653509	0.43959121719303185	0.5575885427142566	asinh	197	25331676437836.96	0.9071555030828208
SRP012682	pituitary	WTO	0.33535679950365244	0.5789187303680277	0.5681394024613837	asinh	124	17520465346450.992	0.8847276308833996
SRP012682	prostate	WTO	0.3660046027637795	0.6339046828224314	0.5642967245735235	asinh	119	19232108739791.59	0.8348637170990683
SRP012682	salivary_gland	WTO	0.3540796667990255	0.5514841702121007	0.5713844551664806	asinh	70	14433063078048.781	0.840206092880244
SRP012682	small_intestine	WTO	0.16909576593703246	0.3316386644149015	0.5527312585609252	asinh	104	14013718866596.008	0.776948424667578
SRP012682	spleen	WTO	0.265368884487189	0.4727582035951192	0.5433877677414785	asinh	118	14346446068866.951	0.9159208419930962
SRP012682	stomach	WTO	0.30530661250210905	0.52064648345756	0.5688952343462006	asinh	203	17003626657448.738	0.8198299137803764
SRP012682	testis	WTO	0.13595574698014584	0.2458706734517283	0.5393682770495616	asinh	203	28511044450967.555	0.8975121198521843
SRP012682	thyroid	WTO	0.20679960114052573	0.40726323169190876	0.5469614477428877	asinh	361	34659609336165.54	0.8803299354597345
SRP012682	uterus	WTO	0.18508395617968657	0.3426240672148367	0.5340491394085802	asinh	90	15946606709973.91	0.8770981722633059
SRP012682	vagina	WTO	0.10896779456427158	0.20606450566231072	0.536645081126153	asinh	97	18566935313697.44	0.8169675261454857
SRP012682	adrenal_gland	rlog	0.3231888095344854	0.5106069840229616	0.551898069388244	rlog	159	23481551609864.31	0.9045109224029559
SRP012682	bladder	rlog	0.11859550981814351	0.2385535181706856	0.5299096540948085	rlog	11	7730794256511.091	0.8774278302670073
SRP012682	bone_marrow	rlog	0.2026027866587803	0.45748294898071784	0.528865484133803	rlog	102	42049900457199.79	0.9928019473064187
SRP012682	breast	rlog	0.2915968870815117	0.46144991310721656	0.5515730640981928	rlog	218	18879247457177.68	0.8302414835111974
SRP012682	cervix_uteri	rlog	0.13895726719228013	0.23669016489069974	0.531756790770487	rlog	11	5000055391623.473	0.8542408684699819
SRP012682	colon	rlog	0.11825982696218452	0.18239230176001947	0.5441819721081629	rlog	376	19519544599157.188	0.8005994571042859
SRP012682	fallopian_tube	rlog	0.18797101853065365	0.3273444797434876	0.5421254179755124	rlog	7	23996813030299.906	0.8610602932806956
SRP012682	heart	rlog	0.32070076695711586	0.5027604524679306	0.5564234210755785	rlog	489	39369470293725.52	0.8295588197843352
SRP012682	kidney	rlog	0.38518530977885757	0.5190567728510828	0.559867907079024	rlog	36	22272752539960.25	0.7985829147013058
SRP012682	liver	rlog	0.45640029633683	0.6951431290584243	0.5716462244363356	rlog	136	43479116110667.48	0.8611651199044741
SRP012682	lung	rlog	0.36873243998349464	0.5843667891376508	0.5602382402680632	rlog	374	43149889822933.25	0.8357935494798248
SRP012682	muscle	rlog	0.448651875663475	0.6502271428614584	0.5657866970559553	rlog	475	41509031431766.15	0.8758770579357273
SRP012682	nerve	rlog	0.3540967253253558	0.5538620944604853	0.5516561617860134	rlog	335	30490143371729.26	0.8983040598566469
SRP012682	ovary	rlog	0.4134336672285392	0.6062838391669758	0.5570188861752285	rlog	108	16778882363032.21	0.8929019389320334
SRP012682	pancreas	rlog	0.47644346329436826	0.7039975823924453	0.5679764200831414	rlog	197	25331676437836.96	0.9071555030828208
SRP012682	pituitary	rlog	0.3661478939109159	0.559129320807749	0.5594935757117128	rlog	124	17520465346450.992	0.8847276308833996
SRP012682	prostate	rlog	0.3291524155693459	0.5158991060677772	0.5535160954095772	rlog	119	19232108739791.59	0.8348637170990683
SRP012682	salivary_gland	rlog	0.26188533029651534	0.45049581359233004	0.5502136865125067	rlog	70	14433063078048.781	0.840206092880244
SRP012682	small_intestine	rlog	0.1509677563272721	0.26491019011912614	0.5387963214684532	rlog	104	14013718866596.008	0.776948424667578
SRP012682	spleen	rlog	0.4837808126897826	0.7100587938375902	0.5595847184008562	rlog	118	14346446068866.951	0.9159208419930962
SRP012682	stomach	rlog	0.17513977196629213	0.30687055639077865	0.5479274496069593	rlog	203	17003626657448.738	0.8198299137803764
SRP012682	testis	rlog	0.17271429579637465	0.3528374853448646	0.5397687697450237	rlog	203	28511044450967.555	0.8975121198521843
SRP012682	thyroid	rlog	0.4420217584484329	0.6143274255916327	0.5568174174754859	rlog	361	34659609336165.54	0.8803299354597345
SRP012682	uterus	rlog	0.35601826815416565	0.5425444606298311	0.5486633103428176	rlog	90	15946606709973.91	0.8770981722633059
SRP012682	vagina	rlog	0.19481272021743878	0.3212463183547442	0.5425422316129698	rlog	97	18566935313697.44	0.8169675261454857
SRP012682	adrenal_gland	rlog_CLR	0.37919484758545857	0.5112865922240757	0.5544575664716831	rlog	159	23481551609864.31	0.9045109224029559
SRP012682	bladder	rlog_CLR	0.12673845664635194	0.247526592567149	0.5314501601451411	rlog	11	7730794256511.091	0.8774278302670073
SRP012682	bone_marrow	rlog_CLR	0.25436897838038197	0.4542311096576158	0.5347925994578873	rlog	102	42049900457199.79	0.9928019473064187
SRP012682	breast	rlog_CLR	0.3943589713655974	0.5327567193757696	0.5556957658482133	rlog	218	18879247457177.68	0.8302414835111974
SRP012682	cervix_uteri	rlog_CLR	0.17787291488524895	0.25607703368562384	0.5330152071010161	rlog	11	5000055391623.473	0.8542408684699819
SRP012682	colon	rlog_CLR	0.37014388774257834	0.38505483403703755	0.5529873985692575	rlog	376	19519544599157.188	0.8005994571042859
SRP012682	fallopian_tube	rlog_CLR	0.15928707637593387	0.30150397571146814	0.5411814029398556	rlog	7	23996813030299.906	0.8610602932806956
SRP012682	heart	rlog_CLR	0.3971717581628876	0.5224601830495286	0.5600761254108875	rlog	489	39369470293725.52	0.8295588197843352
SRP012682	kidney	rlog_CLR	0.38500473095761756	0.4942808946702405	0.55864365659545	rlog	36	22272752539960.25	0.7985829147013058
SRP012682	liver	rlog_CLR	0.4777516911135744	0.6655210411100553	0.5720143561757141	rlog	136	43479116110667.48	0.8611651199044741
SRP012682	lung	rlog_CLR	0.43044289901544225	0.6030110708867642	0.5645640495072257	rlog	374	43149889822933.25	0.8357935494798248
SRP012682	muscle	rlog_CLR	0.45874842067230537	0.6542837738445036	0.5708361628894636	rlog	475	41509031431766.15	0.8758770579357273
SRP012682	nerve	rlog_CLR	0.34132700601026006	0.5342950290727166	0.5533023251668965	rlog	335	30490143371729.26	0.8983040598566469
SRP012682	ovary	rlog_CLR	0.35056141574253097	0.5396693592748305	0.5560753228483009	rlog	108	16778882363032.21	0.8929019389320334
SRP012682	pancreas	rlog_CLR	0.4636456993550775	0.6533153916077995	0.5682252820975009	rlog	197	25331676437836.96	0.9071555030828208
SRP012682	pituitary	rlog_CLR	0.36993015352163444	0.533346184537268	0.5600514782431674	rlog	124	17520465346450.992	0.8847276308833996
SRP012682	prostate	rlog_CLR	0.37890829942379417	0.49463371018981184	0.5541410029186409	rlog	119	19232108739791.59	0.8348637170990683
