ensembl_ids	type_of_gene
ENSG00000205177	protein_coding
ENSG00000217236	protein_coding
ENSG00000282405	antisense_RNA
ENSG00000241769	antisense_RNA
ENSG00000204345	protein_coding
ENSG00000267882	antisense_RNA
ENSG00000214534	protein_coding
ENSG00000274540	protein_coding
ENSG00000255251	protein_coding
ENSG00000228804	antisense_RNA
ENSG00000264278	lincRNA
ENSG00000267858	antisense_RNA
ENSG00000204949	antisense_RNA
ENSG00000196440	protein_coding
ENSG00000229833	protein_coding
ENSG00000231028	lincRNA
ENSG00000229547	transcribed_processed_pseudogene
ENSG00000227124	protein_coding
ENSG00000204767	protein_coding
ENSG00000232263	protein_coding
ENSG00000274195	protein_coding
ENSG00000215372	protein_coding
ENSG00000274026	transcribed_processed_pseudogene
ENSG00000282419	protein_coding
ENSG00000232063	lincRNA
ENSG00000255428	sense_intronic
ENSG00000225725	lincRNA
ENSG00000283473	protein_coding
ENSG00000233421	lincRNA
ENSG00000231439	lincRNA
ENSG00000267790	lincRNA
ENSG00000231609	antisense_RNA
ENSG00000260704	lincRNA
ENSG00000243716	protein_coding
ENSG00000279561	TEC
ENSG00000275735	protein_coding
ENSG00000275452	protein_coding
ENSG00000274518	protein_coding
ENSG00000275253	protein_coding
ENSG00000274438	protein_coding
ENSG00000275583	protein_coding
ENSG00000278300	protein_coding
ENSG00000275737	protein_coding
ENSG00000278152	protein_coding
ENSG00000276425	protein_coding
ENSG00000277885	protein_coding
ENSG00000276139	protein_coding
ENSG00000276258	protein_coding
ENSG00000188681	transcribed_unprocessed_pseudogene
ENSG00000275520	protein_coding
ENSG00000268994	protein_coding
ENSG00000131797	transcribed_unprocessed_pseudogene
ENSG00000262121	protein_coding
ENSG00000212722	protein_coding
ENSG00000215356	protein_coding
ENSG00000227488	protein_coding
ENSG00000271425	protein_coding
ENSG00000185758	protein_coding
ENSG00000281783	antisense_RNA
ENSG00000281829	antisense_RNA
ENSG00000205865	antisense_RNA
ENSG00000240871	protein_coding
ENSG00000275340	transcribed_unprocessed_pseudogene
ENSG00000277090	protein_coding
ENSG00000273651	protein_coding
ENSG00000276896	protein_coding
ENSG00000153684	protein_coding
ENSG00000183629	protein_coding
ENSG00000278310	transcribed_unprocessed_pseudogene
ENSG00000257150	transcribed_processed_pseudogene
ENSG00000124343	protein_coding
ENSG00000258869	lincRNA
ENSG00000226913	lincRNA
ENSG00000268472	antisense_RNA
ENSG00000214106	antisense_RNA
ENSG00000214081	transcribed_unprocessed_pseudogene
ENSG00000235531	antisense_RNA
ENSG00000145642	protein_coding
ENSG00000234830	transcribed_unprocessed_pseudogene
ENSG00000203870	protein_coding
ENSG00000279245	lincRNA
ENSG00000175676	transcribed_unprocessed_pseudogene
ENSG00000278508	transcribed_unprocessed_pseudogene
ENSG00000278070	unprocessed_pseudogene
ENSG00000230417	lincRNA
ENSG00000215113	protein_coding
ENSG00000223839	lincRNA
ENSG00000235699	protein_coding
ENSG00000203987	antisense_RNA
ENSG00000205485	transcribed_unprocessed_pseudogene
ENSG00000282254	transcribed_unprocessed_pseudogene
ENSG00000189090	protein_coding
ENSG00000226985	lincRNA
ENSG00000224843	lincRNA
ENSG00000274042	protein_coding
ENSG00000188388	unprocessed_pseudogene
ENSG00000248522	processed_pseudogene
ENSG00000255378	protein_coding
ENSG00000233050	protein_coding
ENSG00000230212	sense_intronic
ENSG00000268991	protein_coding
ENSG00000254369	antisense_RNA
ENSG00000278873	TEC
ENSG00000250632	lincRNA
ENSG00000226416	antisense_RNA
ENSG00000236423	lincRNA
ENSG00000261522	transcribed_unprocessed_pseudogene
ENSG00000272398	protein_coding
ENSG00000267064	antisense_RNA
ENSG00000231327	lincRNA
ENSG00000267278	antisense_RNA
ENSG00000235958	antisense_RNA
ENSG00000260231	antisense_RNA
ENSG00000239332	lincRNA
ENSG00000236829	transcribed_processed_pseudogene
ENSG00000260458	protein_coding
ENSG00000240889	antisense_RNA
ENSG00000259429	transcribed_unprocessed_pseudogene
ENSG00000282084	transcribed_unprocessed_pseudogene
ENSG00000257949	protein_coding
ENSG00000267368	protein_coding
ENSG00000243789	protein_coding
ENSG00000243708	protein_coding
ENSG00000094631	protein_coding
ENSG00000187997	protein_coding
ENSG00000244693	protein_coding
ENSG00000237119	lincRNA
ENSG00000250846	lincRNA
ENSG00000205559	antisense_RNA
ENSG00000283059	protein_coding
ENSG00000227268	protein_coding
ENSG00000238923	snRNA
ENSG00000108840	protein_coding
ENSG00000206105	protein_coding
ENSG00000264229	snRNA
ENSG00000221676	snRNA
ENSG00000254911	antisense_RNA
ENSG00000170248	protein_coding
ENSG00000199352	rRNA
ENSG00000237675	antisense_RNA
ENSG00000201588	rRNA
ENSG00000199337	rRNA
ENSG00000200381	rRNA
ENSG00000199396	rRNA
ENSG00000200624	rRNA
ENSG00000202521	rRNA
ENSG00000200343	rRNA
ENSG00000201321	rRNA
ENSG00000199910	rRNA
ENSG00000199334	rRNA
ENSG00000199270	rRNA
ENSG00000202526	rRNA
ENSG00000201355	rRNA
ENSG00000201925	rRNA
ENSG00000202257	rRNA
ENSG00000200370	rRNA
ENSG00000236027	protein_coding
ENSG00000242412	transcribed_processed_pseudogene
ENSG00000249915	protein_coding
ENSG00000226763	protein_coding
ENSG00000273604	protein_coding
ENSG00000277303	protein_coding
ENSG00000137875	protein_coding
ENSG00000221120	miRNA
ENSG00000221656	miRNA
ENSG00000214736	protein_coding
ENSG00000238121	lincRNA
ENSG00000225194	lincRNA
ENSG00000237737	antisense_RNA
ENSG00000153094	protein_coding
ENSG00000197291	lincRNA
ENSG00000187658	protein_coding
ENSG00000225556	protein_coding
ENSG00000253661	antisense_RNA
ENSG00000226757	antisense_RNA
ENSG00000275620	antisense_RNA
ENSG00000235295	lincRNA
ENSG00000266149	antisense_RNA
ENSG00000111252	protein_coding
ENSG00000062038	protein_coding
ENSG00000159921	protein_coding
ENSG00000231298	lincRNA
ENSG00000138622	protein_coding
ENSG00000172410	protein_coding
ENSG00000188681	transcribed_unprocessed_pseudogene
ENSG00000247774	processed_transcript
ENSG00000165879	protein_coding
ENSG00000225488	lincRNA
ENSG00000249388	lincRNA
ENSG00000250654	transcribed_unprocessed_pseudogene
ENSG00000135451	protein_coding
ENSG00000282092	protein_coding
ENSG00000175221	protein_coding
ENSG00000204758	antisense_RNA
ENSG00000142892	protein_coding
ENSG00000234435	lincRNA
ENSG00000249375	lincRNA
ENSG00000235049	lincRNA
ENSG00000214694	protein_coding
ENSG00000268964	protein_coding
ENSG00000213999	protein_coding
ENSG00000268257	antisense_RNA
ENSG00000170667	protein_coding
ENSG00000182712	protein_coding
ENSG00000258057	antisense_RNA
ENSG00000178836	transcribed_processed_pseudogene
ENSG00000233673	transcribed_unprocessed_pseudogene
ENSG00000186523	protein_coding
ENSG00000246089	antisense_RNA
ENSG00000233614	transcribed_unprocessed_pseudogene
ENSG00000263843	antisense_RNA
ENSG00000228606	antisense_RNA
ENSG00000265962	antisense_RNA
ENSG00000215378	unprocessed_pseudogene
ENSG00000223972	transcribed_unprocessed_pseudogene
ENSG00000236834	lincRNA
ENSG00000231396	protein_coding
ENSG00000181404	protein_coding
ENSG00000172366	protein_coding
ENSG00000267757	processed_transcript
ENSG00000233136	protein_coding
ENSG00000227551	protein_coding
ENSG00000227115	lincRNA
ENSG00000279552	protein_coding
ENSG00000196350	protein_coding
ENSG00000232399	protein_coding
ENSG00000205693	protein_coding
ENSG00000249104	protein_coding
ENSG00000250844	protein_coding
ENSG00000225174	lincRNA
ENSG00000230031	protein_coding
ENSG00000248920	protein_coding
ENSG00000250745	protein_coding
ENSG00000249811	protein_coding
ENSG00000240204	protein_coding
ENSG00000248933	protein_coding
ENSG00000255151	protein_coding
ENSG00000260898	antisense_RNA
ENSG00000196668	processed_transcript
ENSG00000251573	lincRNA
ENSG00000248472	transcribed_unprocessed_pseudogene
ENSG00000223972	transcribed_unprocessed_pseudogene
ENSG00000261801	antisense_RNA
ENSG00000244681	transcribed_processed_pseudogene
ENSG00000230000	processed_transcript
ENSG00000230062	protein_coding
ENSG00000226167	antisense_RNA
ENSG00000204117	lincRNA
ENSG00000229228	antisense_RNA
ENSG00000230000	processed_transcript
ENSG00000189196	lincRNA
ENSG00000215912	protein_coding
ENSG00000275571	protein_coding
ENSG00000223776	antisense_RNA
ENSG00000265354	protein_coding
ENSG00000257545	antisense_RNA
ENSG00000179452	lincRNA
ENSG00000255282	transcribed_processed_pseudogene
ENSG00000261024	transcribed_processed_pseudogene
ENSG00000267690	antisense_RNA
ENSG00000267244	processed_transcript
ENSG00000162825	protein_coding
ENSG00000217801	transcribed_unprocessed_pseudogene
ENSG00000253741	antisense_RNA
ENSG00000270362	antisense_RNA
ENSG00000177596	lincRNA
ENSG00000206106	protein_coding
ENSG00000231068	protein_coding
ENSG00000183793	protein_coding
ENSG00000183889	protein_coding
ENSG00000233024	protein_coding
ENSG00000273807	protein_coding
ENSG00000282705	protein_coding
ENSG00000282689	transcribed_unprocessed_pseudogene
ENSG00000260128	transcribed_unprocessed_pseudogene
ENSG00000226887	protein_coding
ENSG00000227110	antisense_RNA
ENSG00000256892	protein_coding
ENSG00000248472	transcribed_unprocessed_pseudogene
ENSG00000223569	protein_coding
ENSG00000248767	protein_coding
ENSG00000277422	transcribed_processed_pseudogene
ENSG00000187951	protein_coding
ENSG00000260596	protein_coding
ENSG00000283949	protein_coding
ENSG00000256671	protein_coding
ENSG00000261848	lincRNA
ENSG00000261437	antisense_RNA
ENSG00000262435	unprocessed_pseudogene
ENSG00000226210	unprocessed_pseudogene
ENSG00000198326	protein_coding
ENSG00000172969	protein_coding
ENSG00000234469	protein_coding
ENSG00000227929	antisense_RNA
ENSG00000258940	antisense_RNA
ENSG00000249906	antisense_RNA
ENSG00000277630	protein_coding
ENSG00000236424	protein_coding
ENSG00000260442	antisense_RNA
ENSG00000282826	unprocessed_pseudogene
ENSG00000237310	lincRNA
ENSG00000283486	protein_coding
ENSG00000225516	lincRNA
ENSG00000232284	antisense_RNA
ENSG00000244219	protein_coding
ENSG00000228383	transcribed_unprocessed_pseudogene
ENSG00000274196	transcribed_unprocessed_pseudogene
ENSG00000225560	transcribed_processed_pseudogene
ENSG00000234803	transcribed_unprocessed_pseudogene
ENSG00000225516	lincRNA
ENSG00000278811	antisense_RNA
ENSG00000247400	lincRNA
ENSG00000283378	protein_coding
ENSG00000268996	antisense_RNA
ENSG00000228889	lincRNA
ENSG00000246174	antisense_RNA
ENSG00000177257	protein_coding
ENSG00000275444	protein_coding
ENSG00000232528	transcribed_unitary_pseudogene
ENSG00000196458	protein_coding
ENSG00000225877	lincRNA
ENSG00000282648	transcribed_unprocessed_pseudogene
ENSG00000232431	transcribed_unprocessed_pseudogene
ENSG00000204946	protein_coding
ENSG00000218018	antisense_RNA
ENSG00000269343	protein_coding
ENSG00000233312	protein_coding
ENSG00000263069	antisense_RNA
ENSG00000225391	lincRNA
ENSG00000179242	protein_coding
ENSG00000280641	protein_coding
ENSG00000221533	miRNA
ENSG00000221264	miRNA
ENSG00000221325	miRNA
ENSG00000216171	miRNA
ENSG00000222532	miRNA
ENSG00000221371	miRNA
ENSG00000211543	miRNA
ENSG00000221039	miRNA
ENSG00000223109	miRNA
ENSG00000221634	miRNA
ENSG00000221783	miRNA
ENSG00000221697	miRNA
ENSG00000221355	miRNA
ENSG00000221763	miRNA
ENSG00000222246	miRNA
ENSG00000269782	miRNA
ENSG00000221055	miRNA
ENSG00000222071	miRNA
ENSG00000221628	miRNA
ENSG00000283218	miRNA
ENSG00000283799	miRNA
ENSG00000284415	miRNA
ENSG00000221287	miRNA
ENSG00000221493	miRNA
ENSG00000221788	miRNA
ENSG00000284433	miRNA
ENSG00000284481	miRNA
ENSG00000222831	miRNA
ENSG00000221393	miRNA
ENSG00000222958	miRNA
ENSG00000283203	miRNA
ENSG00000283958	miRNA
ENSG00000222321	miRNA
ENSG00000283857	miRNA
ENSG00000221091	miRNA
ENSG00000221768	miRNA
ENSG00000221251	miRNA
ENSG00000221598	miRNA
ENSG00000221063	miRNA
ENSG00000221669	miRNA
ENSG00000221710	miRNA
ENSG00000221808	miRNA
ENSG00000283912	miRNA
ENSG00000221394	miRNA
ENSG00000221525	miRNA
ENSG00000221028	miRNA
ENSG00000221436	miRNA
ENSG00000221649	miRNA
ENSG00000221771	miRNA
ENSG00000221680	miRNA
ENSG00000238367	miRNA
ENSG00000283210	miRNA
ENSG00000275377	miRNA
ENSG00000284193	miRNA
ENSG00000221081	miRNA
ENSG00000283200	miRNA
ENSG00000283435	miRNA
ENSG00000221240	miRNA
ENSG00000283867	miRNA
ENSG00000221176	miRNA
ENSG00000221563	miRNA
ENSG00000221390	miRNA
ENSG00000238517	miRNA
ENSG00000221430	miRNA
ENSG00000283476	miRNA
ENSG00000284125	miRNA
ENSG00000221033	miRNA
ENSG00000283710	miRNA
ENSG00000221305	miRNA
ENSG00000283126	miRNA
ENSG00000283193	miRNA
ENSG00000280948	miRNA
ENSG00000238705	miRNA
ENSG00000221494	miRNA
ENSG00000221594	miRNA
ENSG00000221265	miRNA
ENSG00000212051	miRNA
ENSG00000284139	miRNA
ENSG00000284464	miRNA
ENSG00000221365	miRNA
ENSG00000221052	miRNA
ENSG00000221464	miRNA
ENSG00000221737	miRNA
ENSG00000221548	miRNA
ENSG00000221200	miRNA
ENSG00000221614	miRNA
ENSG00000284216	miRNA
ENSG00000221739	miRNA
ENSG00000283894	miRNA
ENSG00000284268	miRNA
ENSG00000221463	miRNA
ENSG00000221476	miRNA
ENSG00000221520	miRNA
ENSG00000221502	miRNA
ENSG00000221604	miRNA
ENSG00000281842	miRNA
ENSG00000222715	miRNA
ENSG00000221269	miRNA
ENSG00000284442	miRNA
ENSG00000238399	miRNA
ENSG00000221410	miRNA
ENSG00000283507	miRNA
ENSG00000221586	miRNA
ENSG00000221025	miRNA
ENSG00000221585	miRNA
ENSG00000221641	miRNA
ENSG00000281696	miRNA
ENSG00000221630	miRNA
ENSG00000221754	miRNA
ENSG00000284015	miRNA
ENSG00000283612	miRNA
ENSG00000221348	miRNA
ENSG00000284458	miRNA
ENSG00000284446	miRNA
ENSG00000238728	miRNA
ENSG00000221445	miRNA
ENSG00000221745	miRNA
ENSG00000276158	miRNA
ENSG00000221792	miRNA
ENSG00000221017	miRNA
ENSG00000221540	miRNA
ENSG00000284239	miRNA
ENSG00000283888	miRNA
ENSG00000221456	miRNA
ENSG00000283188	miRNA
ENSG00000283416	miRNA
ENSG00000284416	miRNA
ENSG00000221421	miRNA
ENSG00000283550	miRNA
ENSG00000221238	miRNA
ENSG00000221227	miRNA
ENSG00000283768	miRNA
ENSG00000221230	miRNA
ENSG00000221662	miRNA
ENSG00000221275	miRNA
ENSG00000284332	miRNA
ENSG00000221203	miRNA
ENSG00000221273	miRNA
ENSG00000221261	miRNA
ENSG00000283320	miRNA
ENSG00000221411	miRNA
ENSG00000221552	miRNA
ENSG00000284378	miRNA
ENSG00000221650	miRNA
ENSG00000221698	miRNA
ENSG00000221263	miRNA
ENSG00000221479	miRNA
ENSG00000284253	miRNA
ENSG00000224687	lincRNA
ENSG00000242759	lincRNA
ENSG00000270898	protein_coding
ENSG00000224939	lincRNA
ENSG00000230590	lincRNA
ENSG00000251201	protein_coding
ENSG00000206633	snoRNA
ENSG00000238057	antisense_RNA
ENSG00000224281	processed_transcript
ENSG00000232838	protein_coding
ENSG00000236618	antisense_RNA
ENSG00000173678	protein_coding
ENSG00000157999	protein_coding
ENSG00000221406	miRNA
ENSG00000221333	miRNA
ENSG00000221782	miRNA
ENSG00000221187	miRNA
