ensembl_ids	type_of_gene
ENSG00000236362	protein_coding
ENSG00000275215	rRNA
ENSG00000277739	rRNA
ENSG00000273730	rRNA
ENSG00000275757	rRNA
ENSG00000274917	rRNA
ENSG00000278233	rRNA
ENSG00000276700	rRNA
ENSG00000278189	rRNA
ENSG00000256628	antisense_RNA
ENSG00000117020	protein_coding
ENSG00000275199	protein_coding
ENSG00000133997	protein_coding
ENSG00000278570	protein_coding
ENSG00000282757	protein_coding
ENSG00000207063	snoRNA
ENSG00000207001	snoRNA
ENSG00000207014	snoRNA
ENSG00000207191	snoRNA
ENSG00000207442	snoRNA
ENSG00000207133	snoRNA
ENSG00000207093	snoRNA
ENSG00000206727	snoRNA
ENSG00000200661	snoRNA
ENSG00000206609	snoRNA
ENSG00000207197	snoRNA
ENSG00000207137	snoRNA
ENSG00000206621	snoRNA
ENSG00000207174	snoRNA
ENSG00000207263	snoRNA
ENSG00000206688	snoRNA
ENSG00000275127	snoRNA
ENSG00000207375	snoRNA
ENSG00000207279	snoRNA
ENSG00000252326	snoRNA
ENSG00000199712	snoRNA
ENSG00000199970	snoRNA
ENSG00000200680	snoRNA
ENSG00000200503	snoRNA
ENSG00000200812	snoRNA
ENSG00000278089	snoRNA
ENSG00000200726	snoRNA
ENSG00000199782	snoRNA
ENSG00000201943	snoRNA
ENSG00000200486	snoRNA
ENSG00000199453	snoRNA
ENSG00000273835	snoRNA
ENSG00000199960	snoRNA
ENSG00000201679	snoRNA
ENSG00000200757	snoRNA
ENSG00000201482	snoRNA
ENSG00000200163	snoRNA
ENSG00000199968	snoRNA
ENSG00000201969	snoRNA
ENSG00000199833	snoRNA
ENSG00000201326	snoRNA
ENSG00000201331	snoRNA
ENSG00000199489	snoRNA
ENSG00000275524	snoRNA
ENSG00000199704	snoRNA
ENSG00000200987	snoRNA
ENSG00000202188	snoRNA
ENSG00000200949	snoRNA
ENSG00000200593	snoRNA
ENSG00000199311	snoRNA
ENSG00000201992	snoRNA
ENSG00000202499	snoRNA
ENSG00000200638	snoRNA
ENSG00000201907	snoRNA
ENSG00000200564	snoRNA
ENSG00000272460	snoRNA
ENSG00000200478	snoRNA
ENSG00000201143	snoRNA
ENSG00000202373	snoRNA
ENSG00000202261	snoRNA
ENSG00000284010	miRNA
ENSG00000207245	snoRNA
ENSG00000201634	snoRNA
ENSG00000201300	snoRNA
ENSG00000200801	snoRNA
ENSG00000099974	protein_coding
ENSG00000275758	protein_coding
ENSG00000099977	protein_coding
ENSG00000275003	protein_coding
ENSG00000236311	processed_transcript
ENSG00000077616	protein_coding
ENSG00000240498	antisense_RNA
ENSG00000254415	protein_coding
ENSG00000177406	antisense_RNA
ENSG00000168060	protein_coding
ENSG00000101473	protein_coding
ENSG00000136754	protein_coding
ENSG00000268654	lincRNA
ENSG00000113552	protein_coding
ENSG00000175538	protein_coding
ENSG00000269893	lincRNA
ENSG00000233369	transcribed_processed_pseudogene
ENSG00000231216	antisense_RNA
ENSG00000177485	protein_coding
ENSG00000170558	protein_coding
ENSG00000237563	lincRNA
ENSG00000129816	lincRNA
ENSG00000185700	lincRNA
ENSG00000147761	lincRNA
ENSG00000250204	transcribed_unprocessed_pseudogene
ENSG00000272391	protein_coding
ENSG00000186814	protein_coding
ENSG00000189064	protein_coding
ENSG00000136560	protein_coding
ENSG00000238886	snoRNA
ENSG00000239127	snoRNA
ENSG00000280213	antisense_RNA
ENSG00000203809	lincRNA
ENSG00000205636	lincRNA
ENSG00000205269	protein_coding
ENSG00000213523	protein_coding
ENSG00000248893	lincRNA
ENSG00000239183	snoRNA
ENSG00000207016	snoRNA
ENSG00000200394	snoRNA
ENSG00000206937	snoRNA
ENSG00000207268	snoRNA
ENSG00000221102	snoRNA
ENSG00000221459	snoRNA
ENSG00000221475	snoRNA
ENSG00000228630	antisense_RNA
ENSG00000220201	protein_coding
ENSG00000171084	transcribed_unprocessed_pseudogene
ENSG00000268066	processed_transcript
ENSG00000216031	miRNA
ENSG00000215957	miRNA
ENSG00000212013	miRNA
ENSG00000216001	miRNA
ENSG00000216075	miRNA
ENSG00000216064	miRNA
ENSG00000216005	miRNA
ENSG00000216098	miRNA
ENSG00000216179	miRNA
ENSG00000216069	miRNA
ENSG00000215966	miRNA
ENSG00000284386	miRNA
ENSG00000266297	miRNA
ENSG00000216101	miRNA
ENSG00000283159	miRNA
ENSG00000215939	miRNA
ENSG00000212027	miRNA
ENSG00000212102	miRNA
ENSG00000211520	miRNA
ENSG00000216192	miRNA
ENSG00000284146	miRNA
ENSG00000283615	miRNA
ENSG00000216060	miRNA
ENSG00000284583	miRNA
ENSG00000283788	miRNA
ENSG00000216035	miRNA
ENSG00000284346	miRNA
ENSG00000283206	miRNA
ENSG00000216195	miRNA
ENSG00000215930	miRNA
ENSG00000284587	miRNA
ENSG00000211997	miRNA
ENSG00000216135	miRNA
ENSG00000212040	miRNA
ENSG00000215991	miRNA
ENSG00000212014	miRNA
ENSG00000284224	miRNA
ENSG00000216141	miRNA
ENSG00000216058	miRNA
ENSG00000216056	miRNA
ENSG00000215943	miRNA
ENSG00000216009	miRNA
ENSG00000216099	miRNA
ENSG00000215938	miRNA
ENSG00000216077	miRNA
ENSG00000211575	miRNA
ENSG00000215952	miRNA
ENSG00000215973	miRNA
ENSG00000284310	miRNA
ENSG00000283513	miRNA
ENSG00000215961	miRNA
ENSG00000199130	miRNA
ENSG00000283978	miRNA
ENSG00000235947	lincRNA
ENSG00000240288	antisense_RNA
ENSG00000186367	protein_coding
ENSG00000232803	antisense_RNA
ENSG00000181211	sense_intronic
ENSG00000257495	antisense_RNA
ENSG00000253250	protein_coding
ENSG00000265489	antisense_RNA
ENSG00000241313	antisense_RNA
ENSG00000268894	antisense_RNA
ENSG00000250274	lincRNA
ENSG00000225828	protein_coding
ENSG00000204832	antisense_RNA
ENSG00000253302	antisense_RNA
ENSG00000269364	lincRNA
ENSG00000239219	antisense_RNA
ENSG00000257167	antisense_RNA
ENSG00000255002	lincRNA
ENSG00000204241	lincRNA
ENSG00000023171	protein_coding
ENSG00000220575	antisense_RNA
ENSG00000179253	antisense_RNA
ENSG00000233491	transcribed_unitary_pseudogene
ENSG00000229196	antisense_RNA
ENSG00000173626	protein_coding
ENSG00000203499	protein_coding
ENSG00000282685	processed_transcript
ENSG00000282519	antisense_RNA
ENSG00000225684	lincRNA
ENSG00000248027	antisense_RNA
ENSG00000176593	processed_transcript
ENSG00000233093	processed_transcript
ENSG00000251143	antisense_RNA
ENSG00000229105	antisense_RNA
ENSG00000203280	antisense_RNA
ENSG00000225932	protein_coding
ENSG00000214043	lincRNA
ENSG00000266983	antisense_RNA
ENSG00000183397	protein_coding
ENSG00000227028	antisense_RNA
ENSG00000231728	antisense_RNA
ENSG00000229589	antisense_RNA
ENSG00000227392	antisense_RNA
ENSG00000205786	lincRNA
ENSG00000234696	antisense_RNA
ENSG00000206187	lincRNA
ENSG00000228474	protein_coding
ENSG00000254109	antisense_RNA
ENSG00000205890	antisense_RNA
ENSG00000175611	processed_transcript
ENSG00000205913	antisense_RNA
ENSG00000233642	antisense_RNA
ENSG00000261373	antisense_RNA
ENSG00000261744	antisense_RNA
ENSG00000266010	lincRNA
ENSG00000260868	lincRNA
ENSG00000283654	protein_coding
ENSG00000179627	protein_coding
ENSG00000205632	lincRNA
ENSG00000120709	protein_coding
ENSG00000264589	antisense_RNA
ENSG00000281578	antisense_RNA
ENSG00000282067	antisense_RNA
ENSG00000205424	antisense_RNA
ENSG00000204380	antisense_RNA
ENSG00000235016	antisense_RNA
ENSG00000237372	lincRNA
ENSG00000186615	antisense_RNA
ENSG00000256980	protein_coding
ENSG00000255020	antisense_RNA
ENSG00000215869	transcribed_processed_pseudogene
ENSG00000224090	antisense_RNA
ENSG00000269293	antisense_RNA
ENSG00000186056	antisense_RNA
ENSG00000226083	antisense_RNA
ENSG00000226180	lincRNA
ENSG00000225805	protein_coding
ENSG00000224440	protein_coding
ENSG00000235453	protein_coding
ENSG00000198854	protein_coding
ENSG00000218819	protein_coding
ENSG00000197176	lincRNA
ENSG00000229694	lincRNA
ENSG00000256537	protein_coding
ENSG00000262986	processed_pseudogene
ENSG00000281930	lincRNA
ENSG00000205549	protein_coding
ENSG00000213077	protein_coding
ENSG00000275520	protein_coding
ENSG00000268994	protein_coding
ENSG00000226122	antisense_RNA
ENSG00000233251	antisense_RNA
ENSG00000228459	lincRNA
ENSG00000225526	protein_coding
ENSG00000234420	transcribed_processed_pseudogene
ENSG00000280351	TEC
ENSG00000224107	protein_coding
ENSG00000272989	lincRNA
ENSG00000112096	protein_coding
ENSG00000282815	protein_coding
ENSG00000269896	transcribed_processed_pseudogene
ENSG00000177699	antisense_RNA
ENSG00000183850	protein_coding
ENSG00000273033	lincRNA
ENSG00000189157	protein_coding
ENSG00000233610	lincRNA
ENSG00000232825	antisense_RNA
ENSG00000261787	protein_coding
ENSG00000226031	antisense_RNA
ENSG00000205442	protein_coding
ENSG00000281357	lincRNA
ENSG00000275549	antisense_RNA
ENSG00000205500	processed_transcript
ENSG00000279873	lincRNA
ENSG00000198865	protein_coding
ENSG00000258708	antisense_RNA
ENSG00000177112	antisense_RNA
ENSG00000237440	protein_coding
ENSG00000224729	antisense_RNA
ENSG00000196951	antisense_RNA
ENSG00000264269	antisense_RNA
ENSG00000249592	antisense_RNA
ENSG00000274386	protein_coding
ENSG00000245748	antisense_RNA
ENSG00000268153	transcribed_unprocessed_pseudogene
ENSG00000197301	antisense_RNA
ENSG00000187791	protein_coding
ENSG00000205334	lincRNA
ENSG00000222019	transcribed_unprocessed_pseudogene
ENSG00000250426	transcribed_processed_pseudogene
ENSG00000268738	protein_coding
ENSG00000256802	antisense_RNA
ENSG00000281284	sense_intronic
ENSG00000279685	sense_intronic
ENSG00000282620	sense_intronic
ENSG00000228237	antisense_RNA
ENSG00000144455	protein_coding
ENSG00000245164	lincRNA
ENSG00000279261	lincRNA
ENSG00000179447	antisense_RNA
ENSG00000254451	antisense_RNA
ENSG00000278749	protein_coding
ENSG00000255181	protein_coding
ENSG00000274443	protein_coding
ENSG00000205710	protein_coding
ENSG00000237250	antisense_RNA
ENSG00000187066	protein_coding
ENSG00000215115	protein_coding
ENSG00000282664	TEC
ENSG00000279770	TEC
ENSG00000223764	lincRNA
ENSG00000237438	transcribed_unprocessed_pseudogene
ENSG00000218416	processed_transcript
ENSG00000237499	antisense_RNA
ENSG00000265944	lincRNA
ENSG00000188051	protein_coding
ENSG00000284690	polymorphic_pseudogene
ENSG00000267270	antisense_RNA
ENSG00000277288	protein_coding
ENSG00000235138	antisense_RNA
ENSG00000203900	antisense_RNA
ENSG00000183631	protein_coding
ENSG00000213963	sense_overlapping
ENSG00000272899	protein_coding
ENSG00000185837	antisense_RNA
ENSG00000186105	protein_coding
ENSG00000214954	protein_coding
ENSG00000185055	protein_coding
ENSG00000255737	antisense_RNA
ENSG00000231274	protein_coding
ENSG00000233437	transcribed_unprocessed_pseudogene
ENSG00000226864	transcribed_unitary_pseudogene
ENSG00000224744	processed_transcript
ENSG00000224056	processed_transcript
ENSG00000223364	processed_transcript
ENSG00000204528	sense_intronic
ENSG00000230983	processed_transcript
ENSG00000231450	processed_transcript
ENSG00000226422	processed_transcript
ENSG00000228439	protein_coding
ENSG00000214353	antisense_RNA
ENSG00000259120	protein_coding
ENSG00000242599	transcribed_unprocessed_pseudogene
ENSG00000261879	antisense_RNA
ENSG00000237339	lincRNA
ENSG00000205078	protein_coding
ENSG00000164500	protein_coding
ENSG00000205903	protein_coding
ENSG00000247572	antisense_RNA
ENSG00000248508	lincRNA
ENSG00000204282	processed_transcript
ENSG00000241560	antisense_RNA
ENSG00000188334	protein_coding
ENSG00000185847	lincRNA
ENSG00000243836	processed_transcript
ENSG00000215845	protein_coding
ENSG00000228544	antisense_RNA
ENSG00000227906	antisense_RNA
ENSG00000189362	protein_coding
ENSG00000237149	antisense_RNA
ENSG00000230778	protein_coding
ENSG00000263201	protein_coding
ENSG00000282555	lincRNA
ENSG00000259721	lincRNA
ENSG00000225449	transcribed_unprocessed_pseudogene
ENSG00000263818	transcribed_processed_pseudogene
ENSG00000251533	lincRNA
