project	tissue	method	log2_auprc_over_prior	auROC	dataset	sample_num	median_spearman	counts_sample_sums_median	counts_sample_sums_variance
SRP012682	esophagus	quantile	0.09658075107414797	0.5319519701783975	SRP012682_esophagus	788	0.7675823718289441	18480702.5	33145227246645.367
SRP012682	fallopian_tube	quantile	0.11265298351064036	0.5308380782530548	SRP012682_fallopian_tube	7	0.8610602932806956	15715064	23996813030299.906
SRP012682	heart	quantile	0.307020422599274	0.5500773235594352	SRP012682_heart	489	0.8295588197843352	20975683	39369470293725.52
SRP012682	kidney	quantile	0.3219683888832927	0.5514499200166938	SRP012682_kidney	36	0.7985829147013058	20364143.5	22272752539960.25
SRP012682	liver	quantile	0.43138316852839714	0.5657448462570756	SRP012682_liver	136	0.8611651199044741	18997677	43479116110667.48
SRP012682	lung	quantile	0.2811673570969128	0.545117176232452	SRP012682_lung	374	0.8357935494798248	18762175	43149889822933.25
SRP012682	muscle	quantile	0.4242217106455018	0.5616368893724939	SRP012682_muscle	475	0.8758770579357273	21197643	41509031431766.15
SRP012682	nerve	quantile	0.3014930531851926	0.5419367283566316	SRP012682_nerve	335	0.8983040598566469	18058485	30490143371729.26
SRP012682	ovary	quantile	0.4056817547643735	0.5528195213555591	SRP012682_ovary	108	0.8929019389320334	17499807.5	16778882363032.21
SRP012682	pancreas	quantile	0.396501187543083	0.558176465998713	SRP012682_pancreas	197	0.9071555030828208	18877747	25331676437836.96
SRP012682	pituitary	quantile	0.29214368300188387	0.5498261446527977	SRP012682_pituitary	124	0.8847276308833996	17752415.5	17520465346450.992
SRP012682	prostate	quantile	0.2501023451579453	0.5416061185524086	SRP012682_prostate	119	0.8348637170990683	17531341	19232108739791.59
SRP012682	salivary_gland	quantile	0.2032450228446809	0.5415370624668867	SRP012682_salivary_gland	70	0.840206092880244	18360564	14433063078048.781
SRP012682	skin	quantile	0.13636585799459816	0.5295659801890906	SRP012682_skin	972	0.8240569875401347	18298834	27032090903840.29
SRP012682	small_intestine	quantile	0.1651907383808708	0.5406302417832194	SRP012682_small_intestine	104	0.776948424667578	18834977	14013718866596.008
SRP012682	spleen	quantile	0.46027825256125415	0.5563767730614018	SRP012682_spleen	118	0.9159208419930962	17334780.5	14346446068866.951
SRP012682	stomach	quantile	0.14338527992737385	0.5399786810098703	SRP012682_stomach	203	0.8198299137803764	18289270	17003626657448.738
SRP012682	testis	quantile	0.2217112060304893	0.5480727177764493	SRP012682_testis	203	0.8975121198521843	17713495	28511044450967.555
SRP012682	thyroid	quantile	0.3689074761127487	0.5441381844216266	SRP012682_thyroid	361	0.8803299354597345	18085485	34659609336165.54
SRP012682	uterus	quantile	0.30216143119040223	0.5388980397469822	SRP012682_uterus	90	0.8770981722633059	18869898.5	15946606709973.91
SRP012682	vagina	quantile	0.1503069996017205	0.5340371132360815	SRP012682_vagina	97	0.8169675261454857	16892044	18566935313697.44
SRP012682	adipose_tissue	TMM	0.5724395984438806	0.5981743534625821	SRP012682_adipose_tissue	620	0.8506274146438043	18923694	30066501410326.83
SRP012682	adrenal_gland	TMM	0.46426063288277125	0.5836029279430477	SRP012682_adrenal_gland	159	0.9045109224029559	19522180	23481551609864.31
SRP012682	bladder	TMM	0.26754027780698975	0.5565247606564299	SRP012682_bladder	11	0.8774278302670073	16528010	7730794256511.091
SRP012682	blood	TMM	0.49062979153609326	0.5940049777514105	SRP012682_blood	595	0.8210499606496351	21664752	47563257529617
SRP012682	blood_vessel	TMM	0.5355322148353142	0.589925477426732	SRP012682_blood_vessel	750	0.8634456651812191	18951804.5	38754164151495.93
SRP012682	bone_marrow	TMM	0.2945951755152212	0.5750934889611017	SRP012682_bone_marrow	102	0.9928019473064187	21093744.5	42049900457199.79
SRP012682	brain	TMM	0.43810028620811786	0.5795617482676789	SRP012682_brain	1409	0.7523762664025219	19802864	46066048954458.94
SRP012682	breast	TMM	0.5148262407456301	0.590331079612497	SRP012682_breast	218	0.8302414835111974	18610044.5	18879247457177.68
SRP012682	cervix_uteri	TMM	0.24508559871226346	0.5540423606048535	SRP012682_cervix_uteri	11	0.8542408684699819	16674331	5000055391623.473
SRP012682	colon	TMM	0.307923807585486	0.5724174897186458	SRP012682_colon	376	0.8005994571042859	18372514	19519544599157.188
SRP012682	esophagus	TMM	0.3360622164212613	0.5709720169620596	SRP012682_esophagus	788	0.7675823718289441	18480702.5	33145227246645.367
SRP012682	fallopian_tube	TMM	0.3527871679018304	0.5751495724712186	SRP012682_fallopian_tube	7	0.8610602932806956	15715064	23996813030299.906
SRP012682	heart	TMM	0.4923746008862943	0.5944984076290893	SRP012682_heart	489	0.8295588197843352	20975683	39369470293725.52
SRP012682	kidney	TMM	0.5410846008463571	0.5961837982381439	SRP012682_kidney	36	0.7985829147013058	20364143.5	22272752539960.25
SRP012682	liver	TMM	0.5933098985937233	0.6059954112142805	SRP012682_liver	136	0.8611651199044741	18997677	43479116110667.48
SRP012682	lung	TMM	0.44273037923706937	0.5897570802212613	SRP012682_lung	374	0.8357935494798248	18762175	43149889822933.25
SRP012682	muscle	TMM	0.5744181434405103	0.5993826393250856	SRP012682_muscle	475	0.8758770579357273	21197643	41509031431766.15
SRP012682	nerve	TMM	0.4806935065588478	0.588730181943447	SRP012682_nerve	335	0.8983040598566469	18058485	30490143371729.26
SRP012682	ovary	TMM	0.5411946780181807	0.5966987721808437	SRP012682_ovary	108	0.8929019389320334	17499807.5	16778882363032.21
SRP012682	pancreas	TMM	0.5282160701552245	0.5958584408563183	SRP012682_pancreas	197	0.9071555030828208	18877747	25331676437836.96
SRP012682	pituitary	TMM	0.5278077401265194	0.5930653923542195	SRP012682_pituitary	124	0.8847276308833996	17752415.5	17520465346450.992
SRP012682	prostate	TMM	0.5319147745595612	0.5885710697020841	SRP012682_prostate	119	0.8348637170990683	17531341	19232108739791.59
SRP012682	salivary_gland	TMM	0.545616841741982	0.5832706128867358	SRP012682_salivary_gland	70	0.840206092880244	18360564	14433063078048.781
SRP012682	skin	TMM	0.35473974301340166	0.5712511270708092	SRP012682_skin	972	0.8240569875401347	18298834	27032090903840.29
SRP012682	small_intestine	TMM	0.31970035606555247	0.5626408297894159	SRP012682_small_intestine	104	0.776948424667578	18834977	14013718866596.008
SRP012682	spleen	TMM	0.5673834144757582	0.594793305962412	SRP012682_spleen	118	0.9159208419930962	17334780.5	14346446068866.951
SRP012682	stomach	TMM	0.3964372062541156	0.5785908518291762	SRP012682_stomach	203	0.8198299137803764	18289270	17003626657448.738
SRP012682	testis	TMM	0.3534914111097615	0.5697283179179067	SRP012682_testis	203	0.8975121198521843	17713495	28511044450967.555
SRP012682	thyroid	TMM	0.4635205107009994	0.5859856285219394	SRP012682_thyroid	361	0.8803299354597345	18085485	34659609336165.54
SRP012682	uterus	TMM	0.47294825357731907	0.5813995098642408	SRP012682_uterus	90	0.8770981722633059	18869898.5	15946606709973.91
SRP012682	vagina	TMM	0.39589991809905584	0.5709658845589729	SRP012682_vagina	97	0.8169675261454857	16892044	18566935313697.44
SRP012682	adipose_tissue	UQ	0.5725424953072313	0.5976773788529499	SRP012682_adipose_tissue	620	0.8506274146438043	18923694	30066501410326.83
SRP012682	adrenal_gland	UQ	0.4623699649130917	0.5823858580688466	SRP012682_adrenal_gland	159	0.9045109224029559	19522180	23481551609864.31
SRP012682	bladder	UQ	0.267873187175682	0.556517713986068	SRP012682_bladder	11	0.8774278302670073	16528010	7730794256511.091
SRP012682	blood	UQ	0.5476345930395183	0.5983582950793789	SRP012682_blood	595	0.8210499606496351	21664752	47563257529617
SRP012682	blood_vessel	UQ	0.5355395817704462	0.5881550473186508	SRP012682_blood_vessel	750	0.8634456651812191	18951804.5	38754164151495.93
SRP012682	bone_marrow	UQ	0.29440944732582425	0.574805250576901	SRP012682_bone_marrow	102	0.9928019473064187	21093744.5	42049900457199.79
SRP012682	brain	UQ	0.44647715991953757	0.5808373765880788	SRP012682_brain	1409	0.7523762664025219	19802864	46066048954458.94
SRP012682	breast	UQ	0.5110825150043735	0.5891958038823759	SRP012682_breast	218	0.8302414835111974	18610044.5	18879247457177.68
SRP012682	cervix_uteri	UQ	0.23716556043554649	0.5530056868924476	SRP012682_cervix_uteri	11	0.8542408684699819	16674331	5000055391623.473
SRP012682	colon	UQ	0.31485237566855756	0.5710632601571888	SRP012682_colon	376	0.8005994571042859	18372514	19519544599157.188
SRP012682	esophagus	UQ	0.31822785265391157	0.5682896471234926	SRP012682_esophagus	788	0.7675823718289441	18480702.5	33145227246645.367
SRP012682	fallopian_tube	UQ	0.342301913185478	0.572591002561694	SRP012682_fallopian_tube	7	0.8610602932806956	15715064	23996813030299.906
SRP012682	heart	UQ	0.4863915432197012	0.5933852768421275	SRP012682_heart	489	0.8295588197843352	20975683	39369470293725.52
SRP012682	kidney	UQ	0.5500272556829084	0.5962635679361483	SRP012682_kidney	36	0.7985829147013058	20364143.5	22272752539960.25
SRP012682	liver	UQ	0.5865418625296294	0.6038891793155017	SRP012682_liver	136	0.8611651199044741	18997677	43479116110667.48
SRP012682	lung	UQ	0.4487029487109694	0.5905522473176461	SRP012682_lung	374	0.8357935494798248	18762175	43149889822933.25
SRP012682	muscle	UQ	0.5751717817287002	0.5991828565443029	SRP012682_muscle	475	0.8758770579357273	21197643	41509031431766.15
SRP012682	nerve	UQ	0.4782506464390727	0.588145111922131	SRP012682_nerve	335	0.8983040598566469	18058485	30490143371729.26
SRP012682	ovary	UQ	0.5395713280120731	0.595480043212774	SRP012682_ovary	108	0.8929019389320334	17499807.5	16778882363032.21
SRP012682	pancreas	UQ	0.5240583489450155	0.5943312050235363	SRP012682_pancreas	197	0.9071555030828208	18877747	25331676437836.96
SRP012682	pituitary	UQ	0.5129364786636278	0.5902841874558362	SRP012682_pituitary	124	0.8847276308833996	17752415.5	17520465346450.992
SRP012682	prostate	UQ	0.5270906351630159	0.5873825839166784	SRP012682_prostate	119	0.8348637170990683	17531341	19232108739791.59
SRP012682	salivary_gland	UQ	0.5312800503911816	0.5819646151358029	SRP012682_salivary_gland	70	0.840206092880244	18360564	14433063078048.781
SRP012682	skin	UQ	0.3475036605397931	0.5702604670291294	SRP012682_skin	972	0.8240569875401347	18298834	27032090903840.29
SRP012682	small_intestine	UQ	0.3241103412535881	0.5631445771900871	SRP012682_small_intestine	104	0.776948424667578	18834977	14013718866596.008
SRP012682	spleen	UQ	0.5642606445500619	0.5931892819921813	SRP012682_spleen	118	0.9159208419930962	17334780.5	14346446068866.951
SRP012682	stomach	UQ	0.40135569075417116	0.5777245817771473	SRP012682_stomach	203	0.8198299137803764	18289270	17003626657448.738
SRP012682	testis	UQ	0.3429294490253672	0.5676095857297696	SRP012682_testis	203	0.8975121198521843	17713495	28511044450967.555
SRP012682	thyroid	UQ	0.46511844681133807	0.5860465264213417	SRP012682_thyroid	361	0.8803299354597345	18085485	34659609336165.54
SRP012682	uterus	UQ	0.46357412032272	0.5780505488887684	SRP012682_uterus	90	0.8770981722633059	18869898.5	15946606709973.91
SRP012682	vagina	UQ	0.3902956021463426	0.5696944480710044	SRP012682_vagina	97	0.8169675261454857	16892044	18566935313697.44
SRP012682	adipose_tissue	CPM	0.3331302487805955	0.5504094145626368	SRP012682_adipose_tissue	620	0.8506274146438043	18923694	30066501410326.83
SRP012682	adrenal_gland	CPM	0.2956530928943634	0.5537155877209443	SRP012682_adrenal_gland	159	0.9045109224029559	19522180	23481551609864.31
SRP012682	bladder	CPM	0.061388195927284825	0.5192942861713163	SRP012682_bladder	11	0.8774278302670073	16528010	7730794256511.091
SRP012682	blood	CPM	0.2878690267531394	0.5606934585134695	SRP012682_blood	595	0.8210499606496351	21664752	47563257529617
SRP012682	blood_vessel	CPM	0.43080595365984925	0.5445857840581994	SRP012682_blood_vessel	750	0.8634456651812191	18951804.5	38754164151495.93
SRP012682	bone_marrow	CPM	0.19521326321369553	0.5338530361432277	SRP012682_bone_marrow	102	0.9928019473064187	21093744.5	42049900457199.79
SRP012682	brain	CPM	0.30515565296587355	0.5625673612739774	SRP012682_brain	1409	0.7523762664025219	19802864	46066048954458.94
SRP012682	breast	CPM	0.14789590771978992	0.5349748129474392	SRP012682_breast	218	0.8302414835111974	18610044.5	18879247457177.68
SRP012682	cervix_uteri	CPM	0.078900151618017	0.517404675839316	SRP012682_cervix_uteri	11	0.8542408684699819	16674331	5000055391623.473
SRP012682	colon	CPM	0.134206131412973	0.5452465981566093	SRP012682_colon	376	0.8005994571042859	18372514	19519544599157.188
SRP012682	esophagus	CPM	0.13761509571592975	0.538292335746064	SRP012682_esophagus	788	0.7675823718289441	18480702.5	33145227246645.367
SRP012682	fallopian_tube	CPM	0.07589888185963356	0.5239467099363537	SRP012682_fallopian_tube	7	0.8610602932806956	15715064	23996813030299.906
SRP012682	heart	CPM	0.4973806566398409	0.5953364360125306	SRP012682_heart	489	0.8295588197843352	20975683	39369470293725.52
SRP012682	kidney	CPM	0.47049679940484485	0.5836868252854401	SRP012682_kidney	36	0.7985829147013058	20364143.5	22272752539960.25
SRP012682	liver	CPM	0.5700787525388411	0.5978604698416348	SRP012682_liver	136	0.8611651199044741	18997677	43479116110667.48
SRP012682	lung	CPM	0.25215606871321816	0.5440305825345604	SRP012682_lung	374	0.8357935494798248	18762175	43149889822933.25
SRP012682	muscle	CPM	0.5677138079339896	0.6000648230942716	SRP012682_muscle	475	0.8758770579357273	21197643	41509031431766.15
SRP012682	nerve	CPM	0.28993209786938784	0.5417025245933473	SRP012682_nerve	335	0.8983040598566469	18058485	30490143371729.26
SRP012682	ovary	CPM	0.36593748954066	0.5549102872009826	SRP012682_ovary	108	0.8929019389320334	17499807.5	16778882363032.21
SRP012682	pancreas	CPM	0.5312048145417837	0.5994223553402662	SRP012682_pancreas	197	0.9071555030828208	18877747	25331676437836.96
SRP012682	pituitary	CPM	0.3320599655027786	0.5552642003249275	SRP012682_pituitary	124	0.8847276308833996	17752415.5	17520465346450.992
SRP012682	prostate	CPM	0.2764259041353571	0.5494355432319935	SRP012682_prostate	119	0.8348637170990683	17531341	19232108739791.59
SRP012682	salivary_gland	CPM	0.4054633160313411	0.5745485032380202	SRP012682_salivary_gland	70	0.840206092880244	18360564	14433063078048.781
SRP012682	skin	CPM	0.16045143499277995	0.5307416778055085	SRP012682_skin	972	0.8240569875401347	18298834	27032090903840.29
SRP012682	small_intestine	CPM	0.28184087577190453	0.5617405863349632	SRP012682_small_intestine	104	0.776948424667578	18834977	14013718866596.008
SRP012682	spleen	CPM	0.4512763022412616	0.5598688373752339	SRP012682_spleen	118	0.9159208419930962	17334780.5	14346446068866.951
SRP012682	stomach	CPM	0.42350968636830916	0.5870108158196672	SRP012682_stomach	203	0.8198299137803764	18289270	17003626657448.738
