project	sample	run	sharq_beta_tissue
SRP000762	SRS004225	SRR020495	epithelium
SRP000762	SRS004225	SRR020720	epithelium
SRP000762	SRS004225	SRR020721	epithelium
SRP000762	SRS004225	SRR020722	epithelium
SRP000762	SRS004225	SRR020735	epithelium
SRP000762	SRS004226	SRR020723	epithelium
SRP000762	SRS004226	SRR020724	epithelium
SRP000762	SRS004226	SRR020725	epithelium
SRP000762	SRS004226	SRR020734	epithelium
SRP000762	SRS004226	SRR020738	epithelium
SRP000762	SRS004226	SRR020746	epithelium
SRP000762	SRS004227	SRR020726	epithelium
SRP000762	SRS004227	SRR020727	epithelium
SRP000762	SRS004227	SRR020728	epithelium
SRP000762	SRS004227	SRR020729	epithelium
SRP000762	SRS004227	SRR020747	epithelium
SRP000762	SRS004227	SRR020748	epithelium
SRP000762	SRS004228	SRR020730	epithelium
SRP000762	SRS004228	SRR020731	epithelium
SRP000762	SRS004228	SRR020732	epithelium
SRP000762	SRS004228	SRR020733	epithelium
SRP000762	SRS004228	SRR020782	epithelium
SRP000762	SRS004228	SRR020783	epithelium
SRP000941	SRS004212	SRR020287	stem cell
SRP000941	SRS004212	SRR020288	stem cell
SRP000941	SRS004212	SRR020289	stem cell
SRP000941	SRS004212	SRR020290	stem cell
SRP000941	SRS004212	SRR020291	stem cell
SRP000941	SRS004212	SRR020285	stem cell
SRP000941	SRS004212	SRR1057683	stem cell
SRP000941	SRS004213	SRR1057684	stem cell
SRP000941	SRS004214	SRR020292	lung
SRP000941	SRS004214	SRR020293	lung
SRP000941	SRS004214	SRR020294	lung
SRP000941	SRS004214	SRR020295	lung
SRP000941	SRS004214	SRR020286	lung
SRP000941	SRS172880	SRR1057689	stem cell
SRP000941	SRS172881	SRR1057690	stem cell
SRP000941	SRS267132	SRR1057685	stem cell
SRP000941	SRS267133	SRR1057686	stem cell
SRP000941	SRS287638	SRR1057687	stem cell
SRP000941	SRS287639	SRR1057688	stem cell
SRP000941	SRS306613	SRR578627	heart
SRP000941	SRS306613	SRR578628	heart
SRP000941	SRS306613	SRR578629	heart
SRP000941	SRS306613	SRR578630	heart
