project	sample	run	sharq_beta_tissue
SRP000941	SRS306614	SRR596098	stem cell
SRP000941	SRS306614	SRR596099	stem cell
SRP000941	SRS306614	SRR596100	stem cell
SRP000941	SRS306614	SRR596101	stem cell
SRP000941	SRS306614	SRR651683	stem cell
SRP000941	SRS306614	SRR651684	stem cell
SRP000941	SRS306614	SRR651685	stem cell
SRP000941	SRS306614	SRR651686	stem cell
SRP000941	SRS306616	SRR596102	stem cell
SRP000941	SRS306616	SRR596103	stem cell
SRP000941	SRS306616	SRR596104	stem cell
SRP000941	SRS306616	SRR596105	stem cell
SRP000941	SRS306616	SRR651687	stem cell
SRP000941	SRS306616	SRR651688	stem cell
SRP000941	SRS306616	SRR651689	stem cell
SRP000941	SRS306619	SRR577587	heart
SRP000941	SRS306619	SRR577588	heart
SRP000941	SRS306619	SRR577589	heart
SRP000941	SRS306619	SRR577590	heart
SRP000941	SRS306621	SRR651699	muscle
SRP000941	SRS306621	SRR651700	muscle
SRP000941	SRS306621	SRR651701	muscle
SRP000941	SRS306621	SRR651702	muscle
SRP000941	SRS306621	SRR651703	muscle
SRP000941	SRS306621	SRR651704	muscle
SRP000941	SRS306622	SRR578651	stem cell
SRP000941	SRS306622	SRR578652	stem cell
SRP000941	SRS306622	SRR578653	stem cell
SRP000941	SRS306622	SRR578654	stem cell
SRP000941	SRS306622	SRR651705	stem cell
SRP000941	SRS306622	SRR651706	stem cell
SRP000941	SRS306622	SRR651707	stem cell
SRP000941	SRS306622	SRR651708	stem cell
SRP000941	SRS306623	SRR1045618	intestine
SRP000941	SRS306623	SRR1045619	intestine
SRP000941	SRS306623	SRR1045620	intestine
SRP000941	SRS306623	SRR1045621	intestine
SRP000941	SRS306623	SRR1220501	intestine
SRP000941	SRS306623	SRR1220502	intestine
SRP000941	SRS306623	SRR1220503	intestine
SRP000941	SRS306623	SRR1220504	intestine
SRP000941	SRS306623	SRR1220505	intestine
SRP000941	SRS306623	SRR1220506	intestine
SRP000941	SRS306623	SRR1220507	intestine
SRP000941	SRS306623	SRR1220508	intestine
SRP000941	SRS306624	SRR577595	colon
SRP000941	SRS306624	SRR577596	colon
SRP000941	SRS306624	SRR577597	colon
SRP000941	SRS306624	SRR577598	colon
SRP000941	SRS308395	SRR578631	intestine
SRP000941	SRS308395	SRR578632	intestine
SRP000941	SRS308395	SRR578633	intestine
SRP000941	SRS308395	SRR578634	intestine
SRP000941	SRS308395	SRR651665	intestine
SRP000941	SRS308395	SRR651666	intestine
SRP000941	SRS308395	SRR651667	intestine
SRP000941	SRS308395	SRR651668	intestine
SRP000941	SRS308396	SRR577579	lung
SRP000941	SRS308396	SRR577580	lung
SRP000941	SRS308396	SRR577581	lung
SRP000941	SRS308396	SRR577582	lung
SRP000941	SRS308397	SRR577583	stem cell
SRP000941	SRS308397	SRR577584	stem cell
SRP000941	SRS308397	SRR577585	stem cell
SRP000941	SRS308397	SRR577586	stem cell
SRP000941	SRS308398	SRR577591	heart
SRP000941	SRS308398	SRR577592	heart
SRP000941	SRS308398	SRR577593	heart
SRP000941	SRS308398	SRR577594	heart
SRP000941	SRS309358	SRR578635	colon
SRP000941	SRS309358	SRR578636	colon
SRP000941	SRS309358	SRR578637	colon
SRP000941	SRS309358	SRR578638	colon
SRP000941	SRS309358	SRR651669	colon
SRP000941	SRS309358	SRR651670	colon
SRP000941	SRS309358	SRR651671	colon
SRP000941	SRS309358	SRR651672	colon
SRP000941	SRS309359	SRR486237	stem cell
SRP000941	SRS309359	SRR1057691	stem cell
SRP000941	SRS309360	SRR486238	stem cell
SRP000941	SRS309360	SRR1057692	stem cell
SRP000941	SRS309361	SRR486239	stem cell
SRP000941	SRS309362	SRR486240	stem cell
SRP000941	SRS309363	SRR488136	stem cell
SRP000941	SRS309364	SRR488137	stem cell
SRP000941	SRS309365	SRR486241	stem cell
SRP000941	SRS309366	SRR486242	stem cell
SRP000941	SRS309367	SRR488684	stem cell
SRP000941	SRS309368	SRR488685	stem cell
SRP000941	SRS348369	SRR651673	stem cell
SRP000941	SRS348369	SRR651674	stem cell
SRP000941	SRS348369	SRR651675	stem cell
SRP000941	SRS348369	SRR651676	stem cell
SRP000941	SRS348369	SRR651677	stem cell
SRP000941	SRS348369	SRR651678	stem cell
SRP000941	SRS366509	SRR1045526	stem cell
SRP000941	SRS366509	SRR1045527	stem cell
SRP000941	SRS366509	SRR1045528	stem cell
SRP000941	SRS366509	SRR1045529	stem cell
SRP000941	SRS366509	SRR1220381	stem cell
SRP000941	SRS366509	SRR1220382	stem cell
SRP000941	SRS366509	SRR1220383	stem cell
SRP000941	SRS366509	SRR1220384	stem cell
SRP000941	SRS366509	SRR1220385	stem cell
SRP000941	SRS366509	SRR1220386	stem cell
SRP000941	SRS366509	SRR1220387	stem cell
SRP000941	SRS366509	SRR1220388	stem cell
SRP000941	SRS366510	SRR1045530	lung
SRP000941	SRS366510	SRR1045531	lung
SRP000941	SRS366510	SRR1045532	lung
SRP000941	SRS366510	SRR1045533	lung
SRP000941	SRS366510	SRR1220389	lung
SRP000941	SRS366510	SRR1220390	lung
SRP000941	SRS366510	SRR1220391	lung
SRP000941	SRS366510	SRR1220392	lung
SRP000941	SRS366510	SRR1220393	lung
SRP000941	SRS366510	SRR1220394	lung
SRP000941	SRS366510	SRR1220395	lung
SRP000941	SRS366510	SRR1220396	lung
SRP000941	SRS366511	SRR1045570	muscle
SRP000941	SRS366511	SRR1045571	muscle
SRP000941	SRS366511	SRR1045572	muscle
SRP000941	SRS366511	SRR1045573	muscle
SRP000941	SRS366511	SRR1220397	muscle
SRP000941	SRS366511	SRR1220398	muscle
SRP000941	SRS366511	SRR1220399	muscle
SRP000941	SRS366511	SRR1220400	muscle
SRP000941	SRS366511	SRR1220401	muscle
SRP000941	SRS366511	SRR1220402	muscle
SRP000941	SRS366511	SRR1220403	muscle
SRP000941	SRS366511	SRR1220404	muscle
SRP000941	SRS366512	SRR1045574	heart
SRP000941	SRS366512	SRR1045575	heart
SRP000941	SRS366512	SRR1045576	heart
SRP000941	SRS366512	SRR1045577	heart
SRP000941	SRS366512	SRR1220405	heart
SRP000941	SRS366512	SRR1220406	heart
SRP000941	SRS366512	SRR1220407	heart
SRP000941	SRS366512	SRR1220408	heart
SRP000941	SRS366512	SRR1220409	heart
SRP000941	SRS366512	SRR1220410	heart
SRP000941	SRS366512	SRR1220411	heart
SRP000941	SRS366512	SRR1220412	heart
SRP000941	SRS366514	SRR1054856	stem cell
SRP000941	SRS366514	SRR1054857	stem cell
SRP000941	SRS366514	SRR1054858	stem cell
SRP000941	SRS366514	SRR1054859	stem cell
SRP000941	SRS366514	SRR1220429	stem cell
SRP000941	SRS366514	SRR1220430	stem cell
SRP000941	SRS366514	SRR1220431	stem cell
SRP000941	SRS366514	SRR1220432	stem cell
SRP000941	SRS366514	SRR1220433	stem cell
SRP000941	SRS366514	SRR1220434	stem cell
SRP000941	SRS366514	SRR1220435	stem cell
SRP000941	SRS366514	SRR1220436	stem cell
SRP000941	SRS366515	SRR1045586	stem cell
SRP000941	SRS366515	SRR1045587	stem cell
SRP000941	SRS366515	SRR1045588	stem cell
SRP000941	SRS366515	SRR1045589	stem cell
SRP000941	SRS366515	SRR1220438	stem cell
SRP000941	SRS366515	SRR1220439	stem cell
SRP000941	SRS366515	SRR1220441	stem cell
SRP000941	SRS366515	SRR1220442	stem cell
SRP000941	SRS366515	SRR1220443	stem cell
SRP000941	SRS366515	SRR1220444	stem cell
SRP000941	SRS366516	SRR1045594	stem cell
SRP000941	SRS366516	SRR1045595	stem cell
SRP000941	SRS366516	SRR1045596	stem cell
SRP000941	SRS366516	SRR1045597	stem cell
SRP000941	SRS366516	SRR1220453	stem cell
SRP000941	SRS366516	SRR1220454	stem cell
SRP000941	SRS366516	SRR1220455	stem cell
SRP000941	SRS366516	SRR1220456	stem cell
SRP000941	SRS366516	SRR1220457	stem cell
SRP000941	SRS366516	SRR1220458	stem cell
SRP000941	SRS366516	SRR1220459	stem cell
SRP000941	SRS366516	SRR1220460	stem cell
SRP000941	SRS366518	SRR1045602	muscle
SRP000941	SRS366518	SRR1045603	muscle
SRP000941	SRS366518	SRR1045604	muscle
SRP000941	SRS366518	SRR1045605	muscle
SRP000941	SRS366518	SRR1220469	muscle
SRP000941	SRS366518	SRR1220470	muscle
SRP000941	SRS366518	SRR1220471	muscle
SRP000941	SRS366518	SRR1220472	muscle
SRP000941	SRS366518	SRR1220473	muscle
SRP000941	SRS366518	SRR1220474	muscle
SRP000941	SRS366518	SRR1220475	muscle
SRP000941	SRS366518	SRR1220476	muscle
SRP000941	SRS366519	SRR1045606	intestine
SRP000941	SRS366519	SRR1045607	intestine
SRP000941	SRS366519	SRR1045608	intestine
SRP000941	SRS366519	SRR1045609	intestine
SRP000941	SRS366519	SRR1220477	intestine
SRP000941	SRS366519	SRR1220478	intestine
SRP000941	SRS366519	SRR1220479	intestine
SRP000941	SRS366519	SRR1220480	intestine
SRP000941	SRS366519	SRR1220481	intestine
SRP000941	SRS366519	SRR1220482	intestine
SRP000941	SRS366519	SRR1220483	intestine
SRP000941	SRS366519	SRR1220484	intestine
SRP000941	SRS410260	SRR1045610	colon
SRP000941	SRS410260	SRR1045611	colon
SRP000941	SRS410260	SRR1045612	colon
SRP000941	SRS410260	SRR1045613	colon
SRP000941	SRS410260	SRR1220485	colon
SRP000941	SRS410260	SRR1220486	colon
SRP000941	SRS410260	SRR1220487	colon
SRP000941	SRS410260	SRR1220488	colon
SRP000941	SRS410260	SRR1220489	colon
SRP000941	SRS410260	SRR1220490	colon
SRP000941	SRS410260	SRR1220491	colon
SRP000941	SRS410260	SRR1220492	colon
SRP001371	SRS114974	SRR453391	blood
SRP001371	SRS114974	SRR453392	blood
SRP001371	SRS114974	SRR453394	blood
SRP001371	SRS114974	SRR453395	blood
SRP001371	SRS114974	SRR453396	blood
SRP001371	SRS114974	SRR453397	blood
SRP001371	SRS114974	SRR453398	blood
SRP001371	SRS114974	SRR453399	blood
SRP001371	SRS114974	SRR453401	blood
SRP001371	SRS114974	SRR453402	blood
SRP001371	SRS114974	SRR453403	blood
SRP001371	SRS114974	SRR453404	blood
SRP001371	SRS114974	SRR453405	blood
SRP001371	SRS114974	SRR453406	blood
SRP001371	SRS114974	SRR453407	blood
SRP001371	SRS165630	SRR643766	blood
SRP001371	SRS183511	SRR644513	blood
SRP001371	SRS183516	SRR643741	intestine
SRP001371	SRS183517	SRR643744	intestine
SRP001371	SRS183517	SRR643745	intestine
SRP001371	SRS183518	SRR643748	intestine
SRP001371	SRS183520	SRR643742	intestine
SRP001371	SRS183521	SRR643756	intestine
SRP001371	SRS183522	SRR643747	intestine
SRP001371	SRS183523	SRR643751	kidney
SRP001371	SRS183527	SRR643780	brain
SRP001371	SRS183528	SRR643754	brain
SRP001371	SRS183529	SRR643752	brain
SRP001371	SRS183530	SRR643783	brain
SRP001371	SRS255658	SRR643755	intestine
SRP001371	SRS255661	SRR643757	intestine
SRP001371	SRS255662	SRR643759	intestine
SRP001371	SRS255663	SRR643761	intestine
SRP001371	SRS255667	SRR643746	intestine
SRP001371	SRS255668	SRR643758	intestine
SRP001371	SRS267002	SRR643749	kidney
SRP001371	SRS267003	SRR643765	kidney
SRP001371	SRS267007	SRR643768	brain
SRP001371	SRS267007	SRR643769	brain
SRP001371	SRS267008	SRR643771	brain
SRP001371	SRS267009	SRR643775	brain
SRP001371	SRS267010	SRR643770	brain
SRP001371	SRS267011	SRR643784	brain
SRP001371	SRS267026	SRR786771	muscle
SRP001371	SRS267027	SRR786772	muscle
SRP001371	SRS267037	SRR786776	muscle
SRP001371	SRS294636	SRR643781	brain
SRP001371	SRS294636	SRR643782	brain
SRP001371	SRS294653	SRR980475	muscle
SRP001371	SRS294653	SRR980476	muscle
SRP001371	SRS294654	SRR980485	muscle
SRP001371	SRS294654	SRR980486	muscle
SRP001371	SRS294657	SRR980477	blood
SRP001371	SRS294657	SRR980478	blood
SRP001371	SRS294657	SRR980479	blood
SRP001371	SRS383010	SRR643760	intestine
SRP001371	SRS383011	SRR643750	kidney
SRP001371	SRS383012	SRR643762	kidney
SRP001558	SRS009313	SRR032116	liver
SRP001558	SRS009315	SRR032118	liver
SRP001558	SRS009316	SRR032119	liver
SRP001558	SRS009317	SRR032120	liver
SRP001558	SRS009318	SRR032121	liver
SRP001558	SRS009319	SRR032122	liver
SRP001558	SRS009320	SRR032123	liver
SRP001558	SRS009321	SRR032124	liver
SRP001558	SRS009322	SRR032125	liver
SRP001558	SRS009323	SRR032126	liver
SRP001558	SRS009324	SRR032127	liver
SRP001893	SRS010364	SRR035576	umbilical cord
SRP001893	SRS010364	SRR035577	umbilical cord
SRP001893	SRS010364	SRR035578	umbilical cord
SRP001893	SRS010365	SRR035579	umbilical cord
SRP001893	SRS010365	SRR035580	umbilical cord
SRP001893	SRS010365	SRR035581	umbilical cord
SRP001893	SRS010366	SRR035582	umbilical cord
SRP001893	SRS010366	SRR035583	umbilical cord
SRP001893	SRS010366	SRR035584	umbilical cord
SRP001893	SRS010367	SRR035585	umbilical cord
SRP001893	SRS010367	SRR035586	umbilical cord
SRP001893	SRS010367	SRR035587	umbilical cord
SRP002079	SRS011896	SRR037165	stem cell
SRP002079	SRS011896	SRR037166	stem cell
SRP002079	SRS011896	SRR037167	stem cell
SRP002079	SRS011896	SRR037168	stem cell
SRP002079	SRS011896	SRR037169	stem cell
SRP002079	SRS011896	SRR037170	stem cell
SRP002079	SRS011898	SRR037171	stem cell
SRP002079	SRS011898	SRR037172	stem cell
SRP002079	SRS011898	SRR037173	stem cell
SRP002079	SRS011898	SRR037174	stem cell
SRP002079	SRS011898	SRR037175	stem cell
SRP002079	SRS011898	SRR037176	stem cell
SRP002079	SRS011898	SRR037177	stem cell
SRP002079	SRS011898	SRR037182	stem cell
SRP002079	SRS011898	SRR037183	stem cell
SRP002079	SRS011898	SRR037184	stem cell
SRP002079	SRS011898	SRR037185	stem cell
SRP002079	SRS011898	SRR037186	stem cell
SRP002079	SRS011898	SRR037187	stem cell
SRP002079	SRS011898	SRR037188	stem cell
SRP002079	SRS011898	SRR037178	stem cell
SRP002079	SRS011898	SRR037179	stem cell
SRP002079	SRS011898	SRR037180	stem cell
SRP002079	SRS011898	SRR037181	stem cell
SRP002079	SRS011898	SRR037189	stem cell
SRP002079	SRS011898	SRR037190	stem cell
SRP002079	SRS011898	SRR037191	stem cell
SRP002079	SRS011898	SRR037192	stem cell
SRP002079	SRS011899	SRR037193	brain
SRP002079	SRS011899	SRR037194	brain
SRP002079	SRS011899	SRR037195	brain
SRP002079	SRS011899	SRR037196	brain
SRP002079	SRS011899	SRR037197	brain
SRP002079	SRS011899	SRR037198	brain
SRP002079	SRS011900	SRR037199	brain
SRP002079	SRS011900	SRR037200	brain
SRP002079	SRS011900	SRR037201	brain
SRP002079	SRS011900	SRR037202	brain
SRP002079	SRS011900	SRR037203	brain
SRP002079	SRS011900	SRR037204	brain
SRP002079	SRS011900	SRR037205	brain
SRP002079	SRS011902	SRR037206	brain
SRP002079	SRS011902	SRR037207	brain
SRP002079	SRS011902	SRR037208	brain
SRP002079	SRS011902	SRR037209	brain
SRP002079	SRS011902	SRR037210	brain
SRP002079	SRS011902	SRR037211	brain
SRP002079	SRS011902	SRR037212	brain
SRP002079	SRS011902	SRR037213	brain
SRP002079	SRS011902	SRR037219	brain
SRP002079	SRS011902	SRR037214	brain
SRP002079	SRS011902	SRR037215	brain
SRP002079	SRS011902	SRR037216	brain
SRP002079	SRS011902	SRR037217	brain
SRP002079	SRS011902	SRR037218	brain
SRP002079	SRS011903	SRR037220	brain
SRP002079	SRS011903	SRR037221	brain
SRP002079	SRS011903	SRR037222	brain
SRP002079	SRS011903	SRR037223	brain
SRP002079	SRS011903	SRR037224	brain
SRP002079	SRS011903	SRR037225	brain
SRP002079	SRS011903	SRR037226	brain
SRP002105	SRS024848	SRR037695	blood
SRP002105	SRS024848	SRR037696	blood
SRP002105	SRS024848	SRR037697	blood
SRP002105	SRS024848	SRR037698	blood
SRP002105	SRS024848	SRR037699	blood
SRP002105	SRS024848	SRR037700	blood
SRP002105	SRS024848	SRR037701	blood
SRP002105	SRS024848	SRR037702	blood
SRP002105	SRS024848	SRR037703	blood
SRP002105	SRS024848	SRR037704	blood
SRP002105	SRS024848	SRR037705	blood
SRP002105	SRS024848	SRR037706	blood
SRP002105	SRS024848	SRR037707	blood
SRP002105	SRS024848	SRR037708	blood
SRP002105	SRS024848	SRR037709	blood
SRP002272	SRS059014	SRR039611	liver
SRP002272	SRS059015	SRR039612	liver
SRP002272	SRS059016	SRR039613	liver
SRP002272	SRS059017	SRR039614	liver
SRP002272	SRS059018	SRR039615	liver
SRP002272	SRS059019	SRR039616	liver
SRP002272	SRS059020	SRR039617	liver
SRP002272	SRS059021	SRR039618	liver
SRP002272	SRS059022	SRR039619	liver
SRP002272	SRS059023	SRR039620	liver
SRP002272	SRS059024	SRR039621	liver
SRP002272	SRS059025	SRR039622	liver
SRP002272	SRS059026	SRR039623	liver
SRP002272	SRS059027	SRR039624	liver
SRP002272	SRS059028	SRR039625	liver
SRP002274	SRS059031	SRR039628	brain
SRP002274	SRS059032	SRR039629	brain
SRP002274	SRS059033	SRR039630	brain
SRP002274	SRS059034	SRR039631	brain
SRP002274	SRS059035	SRR039632	brain
SRP002274	SRS059036	SRR039633	brain
SRP002605	SRS079385	SRR057511	cervix
SRP002605	SRS079385	SRR057512	cervix
SRP002605	SRS079386	SRR057513	cervix
SRP002605	SRS079386	SRR057514	cervix
SRP002605	SRS079386	SRR057515	cervix
SRP002605	SRS079387	SRR057516	cervix
SRP002605	SRS079387	SRR057517	cervix
SRP002605	SRS079388	SRR057518	cervix
SRP002605	SRS079388	SRR057519	cervix
SRP002605	SRS079388	SRR057520	cervix
SRP002605	SRS079389	SRR057521	cervix
SRP002605	SRS079389	SRR057522	cervix
SRP002605	SRS079390	SRR057523	cervix
SRP002605	SRS079390	SRR057524	cervix
SRP002605	SRS079390	SRR057525	cervix
SRP002605	SRS079391	SRR057526	cervix
SRP002605	SRS079392	SRR057527	cervix
SRP002605	SRS079392	SRR057528	cervix
SRP002605	SRS079393	SRR057529	cervix
SRP002605	SRS079394	SRR057530	cervix
SRP002605	SRS079394	SRR057531	cervix
SRP002605	SRS079395	SRR057532	cervix
SRP002605	SRS079396	SRR057533	cervix
SRP002605	SRS079396	SRR057534	cervix
SRP002628	SRS084143	SRR057629	prostate
SRP002628	SRS084144	SRR057630	prostate
SRP002628	SRS084145	SRR057631	prostate
SRP002628	SRS084146	SRR057632	prostate
SRP002628	SRS084147	SRR057633	prostate
SRP002628	SRS084148	SRR057634	prostate
SRP002628	SRS084149	SRR057635	prostate
SRP002628	SRS084150	SRR057636	prostate
SRP002628	SRS084151	SRR057637	prostate
SRP002628	SRS084152	SRR057638	prostate
SRP002628	SRS084153	SRR057639	prostate
SRP002628	SRS084154	SRR057640	prostate
SRP002628	SRS084155	SRR057641	prostate
SRP002628	SRS084156	SRR057642	prostate
SRP002628	SRS084157	SRR057643	prostate
SRP002628	SRS084158	SRR057644	prostate
SRP002628	SRS084159	SRR057645	prostate
SRP002628	SRS084160	SRR057646	prostate
SRP002628	SRS084161	SRR057647	prostate
SRP002628	SRS084162	SRR057648	prostate
SRP002628	SRS084163	SRR057649	prostate
SRP002628	SRS084164	SRR057650	prostate
SRP002628	SRS084165	SRR057651	prostate
SRP002628	SRS084166	SRR057652	prostate
SRP002628	SRS084167	SRR057653	prostate
SRP002628	SRS084168	SRR057654	prostate
SRP002628	SRS084169	SRR057655	prostate
SRP002628	SRS084170	SRR057656	prostate
SRP002628	SRS084171	SRR057657	prostate
SRP002628	SRS084172	SRR057658	prostate
SRP003611	SRS115066	SRR066423	prostate
SRP003611	SRS115066	SRR066424	prostate
SRP003611	SRS115066	SRR066425	prostate
SRP003611	SRS115066	SRR066426	prostate
SRP003611	SRS115066	SRR066427	prostate
SRP003611	SRS115066	SRR066428	prostate
SRP003611	SRS115066	SRR066429	prostate
SRP003611	SRS115067	SRR066430	prostate
SRP003611	SRS115067	SRR066431	prostate
SRP003611	SRS115067	SRR066432	prostate
SRP003611	SRS115067	SRR066433	prostate
SRP003611	SRS115067	SRR066434	prostate
SRP003611	SRS115067	SRR066435	prostate
SRP003611	SRS115067	SRR066436	prostate
SRP003611	SRS115068	SRR066437	prostate
SRP003611	SRS115068	SRR066438	prostate
SRP003611	SRS115068	SRR066439	prostate
SRP003611	SRS115068	SRR066440	prostate
SRP003611	SRS115068	SRR066441	prostate
SRP003611	SRS115068	SRR066442	prostate
SRP003611	SRS115068	SRR066443	prostate
SRP003611	SRS115068	SRR066444	prostate
SRP003611	SRS115068	SRR066445	prostate
SRP003611	SRS115068	SRR066446	prostate
SRP003611	SRS115068	SRR066447	prostate
SRP003611	SRS115068	SRR066448	prostate
SRP003611	SRS115068	SRR066449	prostate
SRP003611	SRS115068	SRR066450	prostate
SRP003611	SRS115069	SRR066451	prostate
SRP003611	SRS115069	SRR066452	prostate
SRP003611	SRS115070	SRR066453	prostate
SRP003611	SRS115070	SRR066454	prostate
SRP003611	SRS115071	SRR066455	prostate
SRP003611	SRS115071	SRR066456	prostate
SRP003611	SRS115071	SRR066457	prostate
SRP003611	SRS115071	SRR066458	prostate
SRP003611	SRS115071	SRR066459	prostate
SRP003611	SRS115071	SRR066460	prostate
SRP003611	SRS115071	SRR066461	prostate
SRP003611	SRS115072	SRR066463	brain
SRP003611	SRS115072	SRR066464	brain
SRP003611	SRS115072	SRR066465	brain
SRP003611	SRS115072	SRR066466	brain
SRP003611	SRS115072	SRR066467	brain
SRP003611	SRS115072	SRR066468	brain
SRP003611	SRS115073	SRR066469	prostate
SRP003611	SRS115073	SRR066470	prostate
SRP003611	SRS115073	SRR066471	prostate
SRP003611	SRS115073	SRR066472	prostate
SRP003611	SRS115073	SRR066473	prostate
SRP003611	SRS115073	SRR066474	prostate
SRP003611	SRS115073	SRR066475	prostate
SRP003726	SRS116524	SRR067891	breast
SRP003726	SRS116525	SRR067892	breast
SRP003726	SRS116526	SRR067893	breast
SRP003726	SRS116527	SRR067894	breast
SRP003726	SRS116528	SRR067895	breast
SRP003726	SRS116529	SRR067896	breast
SRP003726	SRS116530	SRR067897	breast
SRP003726	SRS116531	SRR067898	breast
SRP003726	SRS116532	SRR067899	breast
SRP003726	SRS116533	SRR067900	breast
SRP003726	SRS116534	SRR067901	breast
SRP003726	SRS116535	SRR067902	breast
SRP003726	SRS116536	SRR067903	breast
SRP003726	SRS116537	SRR067904	breast
SRP003754	SRS301461	SRR446303	brain
SRP003754	SRS301461	SRR446304	brain
SRP003754	SRS301466	SRR446311	blood vessel
SRP003754	SRS301466	SRR446312	blood vessel
SRP003754	SRS301467	SRR446313	skin
SRP003754	SRS301467	SRR446314	skin
SRP003754	SRS301468	SRR446315	skin
SRP003754	SRS301468	SRR446316	skin
SRP003754	SRS301469	SRR446317	skin
SRP003754	SRS301469	SRR446318	skin
SRP003754	SRS301474	SRR446329	epithelium
SRP003754	SRS301474	SRR446330	epithelium
SRP003754	SRS301474	SRR446331	epithelium
SRP003754	SRS301474	SRR446332	epithelium
SRP003754	SRS301477	SRR446337	skin
SRP003754	SRS301477	SRR446338	skin
SRP003754	SRS301482	SRR446388	blood
SRP003754	SRS301482	SRR446389	blood
SRP003754	SRS301483	SRR446390	blood
SRP003754	SRS301483	SRR446391	blood
SRP003754	SRS351978	SRR527584	epithelium
SRP003754	SRS351978	SRR527585	epithelium
SRP003754	SRS351979	SRR527586	blood
SRP003754	SRS351980	SRR527587	brain
SRP003754	SRS351980	SRR527588	brain
SRP003754	SRS351981	SRR527589	epithelium
SRP003754	SRS351981	SRR527590	epithelium
SRP003754	SRS351982	SRR527591	brain
SRP003754	SRS351982	SRR527592	brain
SRP003754	SRS351983	SRR527593	brain
SRP003754	SRS351983	SRR527594	brain
SRP003754	SRS351984	SRR527595	brain
SRP003754	SRS351984	SRR527596	brain
SRP003754	SRS351985	SRR527597	epithelium
SRP003754	SRS351985	SRR527598	epithelium
SRP003754	SRS351986	SRR527599	epithelium
SRP003754	SRS351986	SRR527600	epithelium
SRP003754	SRS351991	SRR527609	epithelium
SRP003754	SRS351991	SRR527610	epithelium
SRP003754	SRS351992	SRR527611	brain
SRP003754	SRS351992	SRR527612	brain
SRP003754	SRS351994	SRR527615	brain
SRP003754	SRS351994	SRR527616	brain
SRP003754	SRS352000	SRR527627	epithelium
SRP003754	SRS352000	SRR527628	epithelium
SRP003754	SRS352001	SRR527629	epithelium
SRP003754	SRS352001	SRR527630	epithelium
SRP003754	SRS352002	SRR527631	epithelium
SRP003754	SRS352002	SRR527632	epithelium
SRP003754	SRS352005	SRR527637	brain
SRP003754	SRS352005	SRR527638	brain
SRP003754	SRS352006	SRR527639	brain
SRP003754	SRS352006	SRR527640	brain
SRP003754	SRS352009	SRR527645	brain
SRP003754	SRS352009	SRR527646	brain
SRP003754	SRS352012	SRR527651	brain
SRP003754	SRS352012	SRR527652	brain
SRP003754	SRS352013	SRR527653	brain
SRP003754	SRS352013	SRR527654	brain
SRP003754	SRS352014	SRR527655	brain
SRP003754	SRS352014	SRR527656	brain
SRP003754	SRS352015	SRR527657	blood
SRP003754	SRS352015	SRR527658	blood
SRP003754	SRS352017	SRR527661	skin
SRP003754	SRS352017	SRR527662	skin
SRP003754	SRS352018	SRR527663	blood vessel
SRP003754	SRS352018	SRR527664	blood vessel
SRP003754	SRS352020	SRR527667	epithelium
SRP003754	SRS352020	SRR527668	epithelium
SRP003754	SRS352021	SRR527669	skin
SRP003754	SRS352021	SRR527670	skin
