project	tissue	method	log2_auprc_over_prior	log2_p20r	auROC	data_transformation	sample_num	counts_sample_sums_variance	median_spearman
SRP007461	liver	CLR	0.18551851024634847	0.3209215493544592	0.5371278504967449	asinh	12	16452668982290.516	0.7047443360228928
SRP007461	lung	CLR	0.16853351966635402	0.29389374187957995	0.5392634455397456	asinh	15	620954908052794.75	0.6988593419206273
SRP007461	muscle	CLR	0.18739115021052682	0.31594318207012245	0.5469824603892448	asinh	6	1399940888619999.8	0.671015367025735
SRP007461	skin	CLR	0.3190794922944009	0.5199928699286726	0.5672883214938338	asinh	25	488596594978231.5	0.5993561079668875
SRP007461	stem_cell	CLR	0.10782005253600488	0.20148132005734684	0.5247183550764021	asinh	8	20470899243998.5	0.7760530988556255
SRP007483	brain	CLR	0.15133065971550833	0.26356104229062016	0.5310883088191076	asinh	12	2877706712147.1816	0.8614590750086454
SRP007584	colon	CLR	0.287908107699124	0.40354847660067533	0.5396902885718191	asinh	10	11143858020.455555	0.8106895402250123
SRP007584	intestine	CLR	0.23535009631098264	0.3271342453828029	0.530610477528171	asinh	9	12919957001.36111	0.7677714298034521
SRP007605	heart	CLR	0.22988308391079723	0.35108758207761903	0.5746758134582706	asinh	12	297663574667254.1	0.8312593545840603
SRP007825	skin	CLR	0.17272595544507563	0.2880299025001184	0.5434824594995007	asinh	39	6639283227796.418	0.6084344601019966
SRP008218	breast	CLR	0.1529098314201819	0.3048126508179921	0.5378144660994622	asinh	14	13953276960963.34	0.7069839526691122
SRP008225	stem_cell	CLR	0.06460865366492842	0.15843766322395827	0.5129974511587534	asinh	8	636417384388.6964	0.9897184940181443
SRP008331	breast	CLR	0.2936566218366766	0.46239255300200244	0.5674667689427224	asinh	15	390245808483628	0.8227322958065029
SRP008482	blood_vessel	CLR	0.18550243392370513	0.3559048206960226	0.5192745827566796	asinh	5	1195860976806.8	0.9981653774210897
SRP008496	umbilical_cord	CLR	0.25461093008380936	0.448242832483943	0.5636542370725692	asinh	12	7881559432351.841	0.7600635636929596
SRP008746	breast	CLR	0.2832497803803036	0.4882700334811049	0.566364878605782	asinh	6	120888927041196.8	0.6355274017450115
SRP008775	blood	CLR	0.14596691327376918	0.28089498839376176	0.5478604129266387	asinh	8	261404140479.98215	0.6231398170085601
