project	tissue	method	recall	precision	dataset	positives	negatives	prior	log2_precision_over_prior
SRP000941	colon	wTO	5	0.0035714285714285713	SRP000941_colon	59	59499	9.906309815641895e-4	1.8500816212504994
SRP000941	heart	wTO	5	0.0017379679144385028	SRP000941_heart	529	164120	0.0032128953106304926	-0.8864725245972469
SRP000941	intestine	wTO	5	0.004223864836325237	SRP000941_intestine	218	101876	0.0021352870883695418	0.984133616620739
SRP000941	lung	wTO	5	0.0017683465959328027	SRP000941_lung	311	117840	0.0026322248647916648	-0.573881669716451
SRP000941	muscle	wTO	5	0.012747491185245458	SRP000941_muscle	1657	264040	0.006236427208436678	1.0314216761674677
SRP000941	stem_cell	wTO	5	0.011043412033511044	SRP000941_stem_cell	638	132555	0.00479004151869843	1.205075918016583
SRP001371	blood	wTO	5	0.015462642256308758	SRP001371_blood	5692	414703	0.013539647236527551	0.19159671679129447
SRP001371	brain	wTO	5	0.012254348317144793	SRP001371_brain	4089	443669	0.009132165142778018	0.4242649100338376
SRP001371	intestine	wTO	5	0.00250501002004008	SRP001371_intestine	218	101876	0.0021352870883695418	0.23038632163922573
SRP001371	kidney	wTO	5	0.004132231404958678	SRP001371_kidney	767	220365	0.0034685165421558164	0.25260228224350034
SRP001371	muscle	wTO	5	0.005611068408916218	SRP001371_muscle	1657	264040	0.006236427208436678	-0.15244425714149237
SRP001558	liver	wTO	5	0.02005231037489102	SRP001558_liver	1061	238312	0.00443241301232804	2.177604246701568
SRP002079	brain	wTO	5	0.011882998171846435	SRP002079_brain	4089	443669	0.009132165142778018	0.3798700310357597
SRP002079	stem_cell	wTO	5	0.007960965588084233	SRP002079_stem_cell	638	132555	0.00479004151869843	0.7329052654484782
SRP002105	blood	wTO	5	0.05656665027053615	SRP002105_blood	5692	414703	0.013539647236527551	2.0627615896085856
SRP002272	liver	wTO	5	0.0053166897827092	SRP002272_liver	1061	238312	0.00443241301232804	0.2624359727554145
SRP002274	brain	wTO	5	0.019948064211520303	SRP002274_brain	4089	443669	0.009132165142778018	1.1272198979770718
SRP002605	cervix	wTO	5	0.022288261515601784	SRP002605_cervix	1847	210257	0.008707992305661374	1.3558720528917578
SRP002628	prostate	wTO	5	0.0014245014245014246	SRP002628_prostate	140	84704	0.0016500872188958558	-0.2120852188668678
SRP003611	brain	wTO	5	0.025116279069767444	SRP003611_brain	4089	443669	0.009132165142778018	1.45959389337387
SRP003611	prostate	wTO	5	0.004006410256410256	SRP003611_prostate	140	84704	0.0016500872188958558	1.2797678774628067
SRP003726	breast	wTO	5	0.011940298507462687	SRP003726_breast	741	135945	0.005421184320266889	1.1391589399279964
SRP003754	blood	wTO	5	0.021469242975823765	SRP003754_blood	5692	414703	0.013539647236527551	0.6650811701460962
SRP003754	brain	wTO	5	0.014743407995463568	SRP003754_brain	4089	443669	0.009132165142778018	0.6910411934020645
SRP003754	skin	wTO	5	0.01221264367816092	SRP003754_skin	711	185757	0.0038129866786794516	1.6793821392925274
SRP003902	kidney	wTO	5	0.006741925368454061	SRP003902_kidney	767	220365	0.0034685165421558164	0.9588418919679318
SRP004847	breast	wTO	5	0.007169811320754717	SRP004847_breast	741	135945	0.005421184320266889	0.4033270943787929
SRP005242	heart	wTO	5	0.003620906801007557	SRP005242_heart	529	164120	0.0032128953106304926	0.17247707095071513
SRP005279	blood	wTO	5	0.023552157483082873	SRP005279_blood	5692	414703	0.013539647236527551	0.7986690719513218
SRP005279	bone	wTO	5	0.0023584905660377358	SRP005279_bone	142	86085	0.001646815962517541	0.518184492277222
SRP005281	stem_cell	wTO	5	0.011597938144329897	SRP005281_stem_cell	638	132555	0.00479004151869843	1.2757582830370824
SRP006575	breast	wTO	5	0.009252405625462621	SRP006575_breast	741	135945	0.005421184320266889	0.7712204557221717
SRP006575	colon	wTO	5	0.0017123287671232876	SRP006575_colon	59	59499	9.906309815641895e-4	0.7895400793154486
SRP006575	kidney	wTO	5	0.0037666513550757923	SRP006575_kidney	767	220365	0.0034685165421558164	0.11896373706060949
SRP006575	lung	wTO	5	0.002572898799313894	SRP006575_lung	311	117840	0.0026322248647916648	-0.03288802820597066
SRP006676	lung	wTO	5	0.00471976401179941	SRP006676_lung	311	117840	0.0026322248647916648	0.8424319862496632
SRP006908	breast	wTO	5	0.013471901462663588	SRP006908_breast	741	135945	0.005421184320266889	1.313273526770217
SRP007359	brain	wTO	5	0.018698224852071007	SRP007359_brain	4089	443669	0.009132165142778018	1.0338724578074179
SRP007412	brain	wTO	5	0.007969668833178583	SRP007412_brain	4089	443669	0.009132165142778018	-0.19643717239492128
SRP007461	blood	wTO	5	0.016196319018404907	SRP007461_blood	5692	414703	0.013539647236527551	0.25847581386159396
SRP007461	brain	wTO	5	0.009301216312902457	SRP007461_brain	4089	443669	0.009132165142778018	0.026462439703082572
SRP007461	breast	wTO	5	0.014885496183206106	SRP007461_breast	741	135945	0.005421184320266889	1.457227347710567
SRP007461	liver	wTO	5	0.011177007299270073	SRP007461_liver	1061	238312	0.00443241301232804	1.334369727815062
SRP007461	lung	wTO	5	0.004090909090909091	SRP007461_lung	311	117840	0.0026322248647916648	0.63613873730366
SRP007461	muscle	wTO	5	0.0076042518397383485	SRP007461_muscle	1657	264040	0.006236427208436678	0.28608655327693056
SRP007461	skin	wTO	5	0.006674294431731503	SRP007461_skin	711	185757	0.0038129866786794516	0.8076938406141284
