project	sample	run	sharq_beta_tissue
SRP012682	SRS644537	SRR1443092	Kidney
SRP012682	SRS389520	SRR657372	Thyroid
SRP012682	SRS645897	SRR1456250	Colon
SRP012682	SRS524506	SRR1075825	Nerve
SRP012682	SRS627092	SRR1331311	Blood
SRP012682	SRS624502	SRR1313664	Small Intestine
SRP012682	SRS645824	SRR1454671	Skin
SRP012682	SRS644031	SRR1433708	Colon
SRP012682	SRS650102	SRR1498997	Breast
SRP012682	SRS645814	SRR1454460	Ovary
SRP012682	SRS639283	SRR1415637	Adipose Tissue
SRP012682	SRS389782	SRR661167	Adipose Tissue
SRP012682	SRS524744	SRR1081283	Lung
SRP012682	SRS639319	SRR1416386	Skin
SRP012682	SRS644745	SRR1447523	Blood
SRP012682	SRS374896	SRR615177	Blood
SRP012682	SRS648760	SRR1477883	Skin
SRP012682	SRS638099	SRR1404623	Ovary
SRP012682	SRS629302	SRR1348339	Brain
SRP012682	SRS625616	SRR1322010	Brain
SRP012682	SRS637284	SRR1394495	Skin
SRP012682	SRS644489	SRR1442087	Pituitary
SRP012682	SRS648280	SRR1467904	Heart
SRP012682	SRS645719	SRR1452399	Esophagus
SRP012682	SRS639521	SRR1420493	Brain
SRP012682	SRS648488	SRR1472347	Esophagus
SRP012682	SRS644516	SRR1442648	Heart
SRP012682	SRS644040	SRR1433902	Colon
SRP012682	SRS625562	SRR1321064	Skin
SRP012682	SRS389086	SRR655435	Brain
SRP012682	SRS389842	SRR663440	Adipose Tissue
SRP012682	SRS645825	SRR1454695	Esophagus
SRP012682	SRS524912	SRR1085134	Adipose Tissue
SRP012682	SRS524534	SRR1076441	Breast
SRP012682	SRS644731	SRR1447215	Blood Vessel
SRP012682	SRS524433	SRR1074385	Pancreas
SRP012682	SRS649562	SRR1486174	Heart
SRP012682	SRS625611	SRR1321921	Nerve
SRP012682	SRS525298	SRR1092038	Ovary
SRP012682	SRS645713	SRR1452270	Adipose Tissue
SRP012682	SRS333405	SRR603596	Brain
SRP012682	SRS648908	SRR1481036	Lung
SRP012682	SRS648891	SRR1480675	Testis
SRP012682	SRS629240	SRR1347144	Skin
SRP012682	SRS389974	SRR662990	Blood
SRP012682	SRS629385	SRR1349433	Heart
SRP012682	SRS644538	SRR1443113	Skin
SRP012682	SRS627423	SRR1334982	Esophagus
SRP012682	SRS524278	SRR1070713	Adipose Tissue
SRP012682	SRS638130	SRR1405266	NA
SRP012682	SRS643964	SRR1432275	Brain
SRP012682	SRS648201	SRR1466198	Nerve
SRP012682	SRS639468	SRR1419342	Skin
SRP012682	SRS633872	SRR1374739	Pancreas
SRP012682	SRS627144	SRR1332424	Adipose Tissue
SRP012682	SRS625582	SRR1321283	Heart
SRP012682	SRS389591	SRR658633	Blood
SRP012682	SRS644762	SRR1447893	Esophagus
SRP012682	SRS525974	SRR1095188	Esophagus
SRP012682	SRS649733	SRR1489803	Breast
SRP012682	SRS644646	SRR1445387	Esophagus
SRP012682	SRS333043	SRR600361	Brain
SRP012682	SRS625454	SRR1318920	Blood Vessel
SRP012682	SRS643977	SRR1432563	Skin
SRP012682	SRS638556	SRR1410742	Skin
SRP012682	SRS635307	SRR1384073	Nerve
SRP012682	SRS525104	SRR1088832	Cervix Uteri
SRP012682	SRS649450	SRR1485060	Colon
SRP012682	SRS644045	SRR1434009	Lung
SRP012682	SRS524622	SRR1078439	Blood Vessel
SRP012682	SRS648858	SRR1479955	Adipose Tissue
SRP012682	SRS389838	SRR661409	Thyroid
SRP012682	SRS634145	SRR1376676	Lung
SRP012682	SRS644398	SRR1440119	Brain
SRP012682	SRS628810	SRR1345847	Blood
SRP012682	SRS638533	SRR1410242	Stomach
SRP012682	SRS525967	SRR1094457	Adipose Tissue
SRP012682	SRS650165	SRR1500382	Adrenal Gland
SRP012682	SRS625495	SRR1319793	Ovary
SRP012682	SRS638392	SRR1409721	Thyroid
SRP012682	SRS636345	SRR1390119	Pituitary
SRP012682	SRS628815	SRR1345953	Breast
SRP012682	SRS625645	SRR1322619	Blood
SRP012682	SRS627442	SRR1335400	Brain
SRP012682	SRS625345	SRR1317344	Brain
SRP012682	SRS637684	SRR1397242	Vagina
SRP012682	SRS625630	SRR1322312	Liver
SRP012682	SRS627586	SRR1336593	Blood Vessel
SRP012682	SRS643905	SRR1431059	Skin
SRP012682	SRS644183	SRR1436822	Blood Vessel
SRP012682	SRS638306	SRR1408368	Brain
SRP012682	SRS627435	SRR1335254	Brain
SRP012682	SRS636103	SRR1387702	Heart
SRP012682	SRS624123	SRR1312802	Nerve
SRP012682	SRS525357	SRR1093410	Vagina
SRP012682	SRS629705	SRR1355475	Skin
SRP012682	SRS629825	SRR1357826	Breast
SRP012682	SRS636112	SRR1387899	Esophagus
SRP012682	SRS526116	SRR1097883	Pancreas
SRP012682	SRS643987	SRR1432783	Colon
SRP012682	SRS629992	SRR1361174	Adipose Tissue
SRP012682	SRS638292	SRR1408091	Stomach
SRP012682	SRS644121	SRR1435584	Heart
SRP012682	SRS637671	SRR1396967	Lung
SRP012682	SRS639482	SRR1419656	Breast
SRP012682	SRS644200	SRR1437186	Stomach
SRP012682	SRS639459	SRR1419148	Brain
SRP012682	SRS524367	SRR1072700	Stomach
SRP012682	SRS645800	SRR1454158	Breast
SRP012682	SRS645736	SRR1452785	Esophagus
SRP012682	SRS649660	SRR1488237	Esophagus
SRP012682	SRS524882	SRR1084417	Muscle
SRP012682	SRS636564	SRR1391678	Thyroid
SRP012682	SRS638188	SRR1406265	Heart
SRP012682	SRS634080	SRR1375371	Small Intestine
SRP012682	SRS374743	SRR612587	Bone Marrow
SRP012682	SRS524539	SRR1076559	Nerve
SRP012682	SRS631312	SRR1366367	Heart
SRP012682	SRS629698	SRR1355328	Skin
SRP012682	SRS636355	SRR1390331	Testis
